"frequency","psd"
9.9,279.3859101772
10,314.2570241427
10.1,594.7386823489
10.2,591.5111801864
10.3,610.8945373496
10.4,914.9803385583
10.5,1109.7448212059
10.6,1009.4629106778
10.7,850.4940012975
10.8,749.9494419499
10.9,550.893206539
11,597.60009116
11.1,193.9272536622
11.2,100.0398642723
11.3,138.7886172626
11.4,153.4816274324
11.5,163.8135305398
11.6,194.0224487311
11.7,101.5866652267
11.8,92.022435186
11.9,92.3102324523
12,47.8018833994
12.1,48.7710432359
12.2,49.8868175062
12.3,30.085926766
12.4,16.0254018897
12.5,25.8663991524
12.6,25.2570430254
12.7,24.6182596985
12.8,28.8025929357
12.9,29.9647149611
13,27.5703377334
13.1,20.8202023286
13.2,15.8568589897
13.3,15.1905526491
13.4,15.2431177247
13.5,9.6345119781
13.6,11.3104484377
13.7,10.2914134949
13.8,11.8598890202
13.9,16.1779662698
14,19.9937109594
14.1,19.4502463956
14.2,18.7549391485
14.3,17.6169443521
14.4,22.4907334089
14.5,24.6106680488
14.6,25.8078703618
14.7,12.5000192209
14.8,12.6517107344
14.9,12.2357518585
15,13.3446037539
15.1,14.7809094076
15.2,14.3340401156
15.3,14.6087889464
15.4,23.3320643066
15.5,23.0257675868
15.6,23.4845410446
15.7,27.4444559784
15.8,40.8444752806
15.9,39.919789568
16,46.3859993851
16.1,51.8553109633
16.2,49.9135210708
16.3,40.7214687458
16.4,46.2933491412
16.5,50.0539811723
16.6,56.4788715931
16.7,69.9470251156
16.8,54.879418947
16.9,77.9181967631
17,80.8776713414
17.1,87.9445078671
17.2,94.23561572
17.3,93.1370460084
17.4,89.0851446754
17.5,88.8611258451
17.6,77.5287851575
17.7,72.3735808677
17.8,46.6947970218
17.9,46.9670455914
18,53.3504720777
18.1,49.0888690985
18.2,54.378142192
18.3,48.7873679083
18.4,57.6429078294
18.5,63.2053281763
18.6,62.7194847501
18.7,54.6205203025
18.8,48.5082943091
18.9,45.7468477578
19,39.1541488407
19.1,30.3872132311
19.2,17.045336799
19.3,29.1324495519
19.4,23.8032462261
19.5,27.5743581167
19.6,31.6809189936
19.7,27.4118156305
19.8,28.9774524386
19.9,25.5378947453
20,14.7173490444
20.1,15.3660637828
20.2,7.8626150007
20.3,13.741222099
20.4,13.8824731431
20.5,10.5263045568
20.6,24.4994717572
20.7,23.8115711672
20.8,34.3183645403
20.9,34.2585120257
21,33.4953198132
21.1,34.0275272925
21.2,32.71637777
21.3,32.4796051789
21.4,20.7282335789
21.5,17.7095854934
21.6,17.863932967
21.7,17.0830464554
21.8,14.4952245639
21.9,10.2366211698
22,11.5359382162
22.1,10.3384882877
22.2,5.7130617573
22.3,7.8275091169
22.4,7.7267067271
22.5,6.7232870534
22.6,7.1476706507
22.7,6.2810731227
22.8,7.792189647
22.9,5.939570697
23,4.5210356345
23.1,7.7436906266
23.2,8.3799452033
23.3,8.6906421781
23.4,9.0310447712
23.5,6.815406599
23.6,6.9309682962
23.7,6.2359148848
23.8,5.3255946564
23.9,4.5951817409
24,5.4600461584
24.1,5.1138243541
24.2,5.0410631847
24.3,4.4139257393
24.4,4.4566733981
24.5,3.206182968
24.6,2.004396648
24.7,2.0708911351
24.8,1.8459206526
24.9,2.3671348587
25,3.6870077176
25.1,6.7623125293
25.2,6.7999604586
25.3,7.8049009592
25.4,7.9773483695
25.5,9.8992720752
25.6,7.3869695107
25.7,6.67499524
25.8,6.9319509816
25.9,5.603860345
26,4.2124818738
26.1,4.7460703942
26.2,2.9747357071
26.3,4.7205249372
26.4,4.6524155698
26.5,4.7823559069
26.6,5.4071613774
26.7,4.149786622
26.8,3.5788289588
26.9,3.9422988696
27,2.2573473169
27.1,4.6048447879
27.2,3.6336420096
27.3,3.7509020261
27.4,4.4497575311
27.5,4.1025795125
27.6,4.2004810102
27.7,3.4473333577
27.8,2.5942320923
27.9,2.7773445466
28,4.086622082
28.1,3.961946905
28.2,3.4894556529
28.3,3.21545259
28.4,3.9504783059
28.5,3.6993250471
28.6,5.056801544
28.7,3.7229144684
28.8,3.5624575065
28.9,3.7156030582
29,3.7194917762
29.1,3.655045954
29.2,3.4622790162
29.3,2.5379616998
29.4,2.3559954615
29.5,2.1370778609
29.6,2.748115337
29.7,2.512492258
29.8,2.3131433241
29.9,2.6185284796
30,3.6477536937
30.1,3.4832475302
30.2,5.4957654284
30.3,5.9201157016
30.4,6.3849524831
30.5,6.9357798484
30.6,6.4218499909
30.7,5.2081505981
30.8,5.3469361076
30.9,4.2007793587
31,3.4548762107
31.1,2.5510379923
31.2,2.0148194501
31.3,2.1550071497
31.4,1.9746468964
31.5,2.4123247491
31.6,2.4508860287
31.7,2.9607995686
31.8,2.9992940461
31.9,2.9287043843
32,2.8833878234
32.1,2.9063338914
32.2,2.807659488
32.3,2.2623860147
32.4,2.0659533167
32.5,1.781907027
32.6,1.6766677113
32.7,1.3298186894
32.8,1.4748185996
32.9,1.4974028417
33,1.3810998882
33.1,1.4869870488
33.2,1.7947013514
33.3,2.6741613187
33.4,2.6050345866
33.5,2.62400479
33.6,2.3980439681
33.7,2.4673360896
33.8,2.1351250932
33.9,2.2478821477
34,1.4764980696
34.1,1.1528329766
34.2,1.396626666
34.3,1.5422730542
34.4,1.6160243545
34.5,1.6370564543
34.6,1.5883769267
34.7,1.4859697985
34.8,1.7992543332
34.9,1.6855068837
35,1.8775261961
35.1,1.7735612939
35.2,1.8327676388
35.3,2.1817235413
35.4,2.3551401093
35.5,2.0085410459
35.6,2.1369867305
35.7,2.4678164192
35.8,2.2368343896
35.9,2.1712250188
36,2.1067945935
36.1,1.6470890103
36.2,1.7948814074
36.3,1.6710869566
36.4,1.1460075198
36.5,1.0223334196
36.6,0.9972438226
36.7,0.9646370574
36.8,0.8634935058
36.9,0.9469268878
37,0.8400955515
37.1,0.9169160482
37.2,1.2333559929
37.3,1.2259455975
37.4,1.4316503206
37.5,1.1839077871
37.6,0.9997244011
37.7,0.9635062268
37.8,0.8800312577
37.9,0.8190471351
38,0.5740698193
38.1,0.5656085043
38.2,0.561316228
38.3,0.5562027258
38.4,0.5458355669
38.5,0.4582008433
38.6,0.5234985886
38.7,0.5906046379
38.8,0.5855079166
38.9,0.7227072693
39,0.7278189402
39.1,0.7499774399
39.2,0.7624904069
39.3,0.7053740921
39.4,0.457694992
39.5,0.4345202952
39.6,0.4817382716
39.7,0.618358923
39.8,0.6228495728
39.9,0.6728412294
40,0.8268231415
40.1,0.8133723146
40.2,0.8792075643
40.3,0.9183404862
40.4,0.9073678126
40.5,0.7692104068
40.6,0.6195655883
40.7,0.5449437121
40.8,0.5233488942
40.9,0.5131731063
41,0.367358346
41.1,0.4354099281
41.2,0.4212296502
41.3,0.409332662
41.4,0.404142623
41.5,0.3128119297
41.6,0.3862516293
41.7,0.3121475409
41.8,0.2375401089
41.9,0.2071113708
42,0.2840706961
42.1,0.2510141961
42.2,0.2004786431
42.3,0.1625754846
42.4,0.1682291243
42.5,0.2213471704
42.6,0.2497098222
42.7,0.2849583642
42.8,0.2607698112
42.9,0.2568377509
43,0.3276481307
43.1,0.4152237937
43.2,0.4265001196
43.3,0.537448332
43.4,0.5945164606
43.5,0.5634489667
43.6,0.6168932998
43.7,0.6044598372
43.8,0.4998342534
43.9,0.5565735675
44,0.4773624972
44.1,0.4753218302
44.2,0.3733664164
44.3,0.4054639793
44.4,0.3800435936
44.5,0.4189243555
44.6,0.5370041528
44.7,0.4604326303
44.8,0.4354578188
44.9,0.3476659119
45,0.3804975844
45.1,0.3355149055
45.2,0.3149816643
45.3,0.2932745013
45.4,0.1862247922
45.5,0.2244310808
45.6,0.2228125852
45.7,0.2264763063
45.8,0.2012784098
45.9,0.2460877152
46,0.1985445017
46.1,0.2704908245
46.2,0.2479077728
46.3,0.2560781558
46.4,0.2693321834
46.5,0.2989593221
46.6,0.2199127467
46.7,0.2531805936
46.8,0.227018562
46.9,0.1789015387
47,0.1970117367
47.1,0.1656295257
47.2,0.1607900786
47.3,0.158294577
47.4,0.2552579113
47.5,0.2288235472
47.6,0.2180522075
47.7,0.2224357309
47.8,0.2385789467
47.9,0.2352449553
48,0.2345502528
48.1,0.3001535708
48.2,0.2302961832
48.3,0.2588405037
48.4,0.2371209953
48.5,0.2558169916
48.6,0.2301318212
48.7,0.2254200837
48.8,0.1572299322
48.9,0.1261292285
49,0.1153015426
49.1,0.102363252
49.2,0.0607803958
49.3,0.0855676882
49.4,0.0673999667
49.5,0.0860551569
49.6,0.0898936176
49.7,0.1408202758
49.8,0.1646687273
49.9,0.1708089813
50,0.1415276387
50.1,0.1622355938
50.2,0.1933947399
50.3,0.1542874924
50.4,0.1020386059
50.5,0.0799304431
50.6,0.0716777853
50.7,0.0751165119
50.8,0.0579544282
50.9,0.0631752972
51,0.0929492349
51.1,0.0860903045
51.2,0.1017597205
51.3,0.1061786222
51.4,0.1255513099
51.5,0.1722133565
51.6,0.1657962897
51.7,0.1129284457
51.8,0.1180110311
51.9,0.133423549
52,0.1381143447
52.1,0.1481511398
52.2,0.1202141057
52.3,0.1285670446
52.4,0.1479444179
52.5,0.1565719281
52.6,0.165053476
52.7,0.1613928059
52.8,0.1698502758
52.9,0.1748943496
53,0.1321013732
53.1,0.1468264848
53.2,0.1228251575
53.3,0.1143652474
53.4,0.0759822355
53.5,0.0809114417
53.6,0.0863992799
53.7,0.072984465
53.8,0.0547540053
53.9,0.057758692
54,0.0682766933
54.1,0.0728475314
54.2,0.08822089
54.3,0.0832113351
54.4,0.0758589621
54.5,0.0993624986
54.6,0.0920292517
54.7,0.1010504889
54.8,0.0816188655
54.9,0.0734507461
55,0.0705433705
55.1,0.063588508
55.2,0.0586567595
55.3,0.0631625209
55.4,0.0684131327
55.5,0.0683260372
55.6,0.0748569524
55.7,0.0867619648
55.8,0.0876648957
55.9,0.0918929657
56,0.0904904839
56.1,0.0865458252
56.2,0.0787749924
56.3,0.0626426073
56.4,0.0343520055
56.5,0.0423584556
56.6,0.0504747987
56.7,0.045760282
56.8,0.0750268172
56.9,0.0764002972
57,0.076448533
57.1,0.0752365773
57.2,0.0753948725
57.3,0.0832364639
57.4,0.098923998
57.5,0.1123550047
57.6,0.0856583602
57.7,0.0856164586
57.8,0.0814665443
57.9,0.0790339823
58,0.0483533807
58.1,0.0432029693
58.2,0.0303747527
58.3,0.0184589622
58.4,0.0384379039
58.5,0.0359878184
58.6,0.0416059989
58.7,0.0446282738
58.8,0.0365249387
58.9,0.0585272789
59,0.052000149
59.1,0.0476929262
59.2,0.0543759227
59.3,0.0445754293
59.4,0.0447241133
59.5,0.0392617052
59.6,0.0341301368
59.7,0.0582048036
59.8,0.0558552781
59.9,0.0607518849
60,0.0566533287
60.1,0.0589998997
60.2,0.068097299
60.3,0.0657968618
60.4,0.0693793468
60.5,0.0675296817
60.6,0.0662339984
60.7,0.069591972
60.8,0.0675248718
60.9,0.0602311134
61,0.0650810981
61.1,0.0505282842
61.2,0.0212731679
61.3,0.0255646402
61.4,0.0252117237
61.5,0.0230379796
61.6,0.0258373376
61.7,0.0268620672
61.8,0.0261381446
61.9,0.035920753
62,0.0356957086
62.1,0.0260437771
62.2,0.0284909079
62.3,0.0395485029
62.4,0.0317219616
62.5,0.0325626107
62.6,0.0330683051
62.7,0.0306534938
62.8,0.0319518005
62.9,0.0395329776
63,0.0535106067
63.1,0.0446170627
63.2,0.0401908729
63.3,0.0364851879
63.4,0.0323009964
63.5,0.0296874734
63.6,0.0308656811
63.7,0.0419470703
63.8,0.0364175167
63.9,0.0352689498
64,0.0351878878
64.1,0.0373787417
64.2,0.0375581511
64.3,0.0298755477
64.4,0.0265669216
64.5,0.0281688738
64.6,0.0396873204
64.7,0.0391132796
64.8,0.0401984969
64.9,0.026796999
65,0.028823957
65.1,0.0314578748
65.2,0.0213204813
65.3,0.0205459101
65.4,0.0140228535
65.5,0.0121193687
65.6,0.0141345135
65.7,0.0151880185
65.8,0.0115787102
65.9,0.0127011287
66,0.0140821106
66.1,0.0176290229
66.2,0.019605746
66.3,0.0286712858
66.4,0.0303735003
66.5,0.0320600417
66.6,0.0275505258
66.7,0.0334898649
66.8,0.0271325403
66.9,0.0270096366
67,0.0197496728
67.1,0.0281856144
67.2,0.0303167788
67.3,0.0334936722
67.4,0.0310114345
67.5,0.0293412579
67.6,0.0292422359
67.7,0.0223632987
67.8,0.0243376423
67.9,0.0180308558
68,0.0160930385
68.1,0.014466331
68.2,0.0140412427
68.3,0.0119833089
68.4,0.015072817
68.5,0.024464109
68.6,0.0171935884
68.7,0.0170208737
68.8,0.0181379521
68.9,0.0226983716
69,0.02263819
69.1,0.022762217
69.2,0.0152782506
69.3,0.0109846524
69.4,0.0150936098
69.5,0.0180160775
69.6,0.0134188963
69.7,0.0139641889
69.8,0.0198303981
69.9,0.0200262209
70,0.0196441561
70.1,0.0159499224
70.2,0.0152060142
70.3,0.0144383882
70.4,0.0147186275
70.5,0.0140934581
70.6,0.0136268766
70.7,0.0137824447
70.8,0.0114394725
70.9,0.0088674504
71,0.008902631
71.1,0.0157234582
71.2,0.0182408098
71.3,0.023148363
71.4,0.0221502013
71.5,0.0239514477
71.6,0.0271724812
71.7,0.0248447823
71.8,0.0286640655
71.9,0.0185285472
72,0.0093233879
72.1,0.011034819
72.2,0.0101882211
72.3,0.0129820388
72.4,0.0139251275
72.5,0.005997117
72.6,0.0098325271
72.7,0.0111940072
72.8,0.012423284
72.9,0.0111781821
73,0.0072428577
73.1,0.0094993214
73.2,0.0119910494
73.3,0.0087132384
73.4,0.0089496913
73.5,0.0115229637
73.6,0.0103018457
73.7,0.0138766134
73.8,0.0143927496
73.9,0.01624572
74,0.0163808993
74.1,0.0142210176
74.2,0.0134473466
74.3,0.0123699869
74.4,0.010828458
74.5,0.0088990145
74.6,0.0116935872
74.7,0.0083630463
74.8,0.0095038367
74.9,0.0108478941
75,0.0068899777
75.1,0.0070082888
75.2,0.0069483333
75.3,0.0063218266
75.4,0.0099434205
75.5,0.0099557598
75.6,0.0097152059
75.7,0.0105150421
75.8,0.0122264088
75.9,0.0117369925
76,0.0126839182
76.1,0.006823742
76.2,0.007726398
76.3,0.0118188614
76.4,0.0078568185
76.5,0.0092820512
76.6,0.0092445064
76.7,0.0079523654
76.8,0.010682195
76.9,0.0070946967
77,0.0067092542
77.1,0.0071651129
77.2,0.0066801887
77.3,0.0124908522
77.4,0.0100380976
77.5,0.0057995179
77.6,0.0051939478
77.7,0.0048395459
77.8,0.0061143252
77.9,0.0058213303
78,0.0069931237
78.1,0.0058314235
78.2,0.0072056205
78.3,0.0072810167
78.4,0.008204043
78.5,0.008423502
78.6,0.0085453007
78.7,0.0089248594
78.8,0.0121612156
78.9,0.0115635691
79,0.0149064776
79.1,0.0122211669
79.2,0.010134896
79.3,0.0113487057
79.4,0.0107018233
79.5,0.0130994911
79.6,0.011720383
79.7,0.009802958
79.8,0.0110542379
79.9,0.0106969376
80,0.0069733483
