"window","start_sec","end_sec","x_mean","x_sd","x_mad","x_energy","x_iqr","x_min","x_max","y_mean","y_sd","y_mad","y_energy","y_iqr","y_min","y_max","z_mean","z_sd","z_mad","z_energy","z_iqr","z_min","z_max","vm_mean","vm_sd","vm_mad","vm_energy","vm_iqr","vm_min","vm_max","sma","cor_xy","cor_xz","cor_yz","dom_freq","spec_energy","spec_entropy","jerk_rms"
11,12.9032258065,15.4516129032,-0.267537962,0.2628001565,0.2613364194,0.1397662565,0.3525385,-0.721924,0.357666,0.7942636456,0.3909760602,0.3232334868,0.7817820528,0.421631,-0.742188,2.126221,-0.3738225823,0.556294732,0.5049379776,0.4452898882,0.7481685,-1.352783,0.837402,1.1252892076,0.3191420658,0.3490172797,1.3668381975,0.4580466763,0.3906981822,2.1344965217,1.712300443,-0.0480263173,0.2733658717,-0.1773200325,3.5316455696,3.9722146678,3.1405991015,10.8890174595
12,14.1935483871,16.7419354839,-0.3280755696,0.1978128396,0.2349150048,0.1462681835,0.2990725,-0.713135,0.179932,0.808992443,0.3824045019,0.2512028484,0.7988509228,0.3275145,-0.742188,2.126221,-0.2838613291,0.5077457159,0.431822076,0.3351196028,0.644165,-1.352783,0.837402,1.093595045,0.2921800978,0.2306925647,1.280238709,0.3377364336,0.4706709178,2.1344965217,1.6235413924,0.0231303694,-0.0768943255,-0.0817680346,2.3544303797,3.3293991718,2.9905614602,9.607256249
13,15.4838709677,18.0322580645,-0.431841481,0.4396749921,0.2700244554,0.3773541495,0.340332,-2.060059,1.193359,0.7468848861,0.3839469571,0.2417913036,0.7033862829,0.316284,-0.783447,1.534912,0.0536645949,0.5294783057,0.3489313926,0.2796784652,0.4832765,-1.132812,1.270752,1.108815831,0.3641773606,0.2596891917,1.3604188976,0.3445451585,0.3731945848,2.5541094424,1.6546986076,0.2664477158,-0.5143880005,-0.5029621584,1.5696202532,5.1723808479,3.25429259,12.8523329785
14,16.7741935484,19.3225806452,-0.4149833924,0.4815675538,0.374630781,0.4011829893,0.5046385,-2.060059,1.193359,0.5949428481,0.5304563246,0.461140491,0.6317790831,0.6103515,-0.89624,1.60376,0.3431288101,0.5934814649,0.6732516252,0.4654991453,0.843994,-1.001709,1.420898,1.162555476,0.3857585377,0.3418416215,1.4984612178,0.3995913291,0.3731945848,2.5541094424,1.7671979114,0.358705279,-0.4863927093,-0.5163664978,1.1772151899,5.8035763278,3.260380484,14.7985947836
15,18.064516129,20.6129032258,-0.3025952785,0.2872747621,0.2732817276,0.1730460486,0.3570555,-1.112305,0.518555,0.6195176076,0.5008262072,0.4651227546,0.631453932,0.6068115,-0.89624,1.60376,0.1930472025,0.71605139,0.869796942,0.5435065675,1.332519,-1.075684,1.420898,1.1251818653,0.2881375458,0.2977160948,1.3480065481,0.4005524303,0.4439119759,1.7686113005,1.7079211266,0.4189507153,-0.3370835841,-0.3643771714,5.1012658228,3.2379065673,3.0077201787,11.5920186432
16,19.3548387097,21.9032258065,-0.2286732278,0.2803283112,0.2370855312,0.1298806735,0.3135985,-0.835693,0.518555,0.7426479114,0.4940677439,0.347121138,0.7925389453,0.5050045,-0.646973,2.199707,0.1171750759,0.7171063353,0.8828275134,0.5214621085,1.205566,-1.125732,1.726562,1.1528598076,0.3409805491,0.3341288007,1.4438817273,0.4578486447,0.1802982076,2.2897974461,1.703112443,0.0690273305,-0.39927456,-0.2467260368,4.7088607595,4.5344416594,2.885426126,13.4131712117
17,20.6451612903,23.1935483871,-0.2419032025,0.280260417,0.2287607322,0.1360688088,0.3116455,-0.835693,0.43042,0.6438111519,0.521502645,0.3424168482,0.683015213,0.5242915,-0.867432,2.199707,0.1732502278,0.7659383508,0.93277779,0.609251103,1.2816165,-1.188232,1.726562,1.1466309114,0.3391588679,0.3089270292,1.4283351248,0.4133916279,0.1802982076,2.2897974461,1.6991382532,0.1583476357,-0.454821559,-0.3098405158,4.7088607595,4.486120769,3.3092905371,14.1133922337
18,21.935483871,24.4838709677,-0.2570214177,0.3074481407,0.2703862098,0.1593878575,0.3653565,-1.138672,0.440918,0.5126922532,0.5357242463,0.440146875,0.5462208972,0.590576,-1.469971,1.588379,0.2803074684,0.7625115194,0.878121741,0.6526362989,1.2388915,-1.41626,1.748047,1.1216948461,0.3183211637,0.3225222242,1.3582450536,0.411829083,0.3828477906,1.8783430993,1.688884557,0.2955536056,-0.2442973465,-0.2554191702,4.3164556962,3.9518061681,3.3767937136,13.9891113466
19,23.2258064516,25.7741935484,-0.1990550127,0.3158912983,0.2765389998,0.1381470799,0.3675535,-1.138672,0.440918,0.6270860127,0.5060251726,0.4777915716,0.6460570581,0.649414,-1.469971,1.599609,0.0375018608,0.7660225226,0.9067181298,0.5807691668,1.241699,-1.508301,1.748047,1.1267437423,0.3108781125,0.2786590985,1.3649733047,0.3704935768,0.3828477906,1.8783430993,1.6525261772,0.1471737124,-0.2255325648,-0.0769526433,4.3164556962,3.7691628318,3.0814310822,13.1093115055
20,24.5161290323,27.064516129,-0.3169533038,0.2698837317,0.2761772454,0.1723746352,0.3583985,-0.934082,0.375732,0.7388931266,0.2978762737,0.2939150718,0.6335701589,0.412964,0.082764,1.599609,0.0086283671,0.6295398831,0.7416617544,0.3913781984,0.935791,-1.508301,1.079346,1.0760304164,0.1999692701,0.1427667948,1.1973229925,0.1905484722,0.460968344,1.6740089434,1.6129692025,-0.0569054538,-0.45931798,0.1021117275,5.4936708861,1.55952065,3.1822145091,8.2966451897
21,25.8064516129,28.3548387097,-0.4956364051,0.2287171894,0.176636964,0.2973048272,0.2614745,-1.263672,0.015869,0.7317141772,0.2379465741,0.2428780494,0.5913075185,0.3555905,0.005859,1.381592,0.0198712152,0.5675564681,0.644293482,0.318437737,0.896484,-1.4729,0.915283,1.0731702809,0.2367811616,0.1575399054,1.2070500826,0.1921109609,0.6224929872,1.9969373954,1.6951610886,0.1010838331,0.202559203,-0.2929123025,5.1012658228,2.1865474204,3.3468065462,9.2275024147
22,27.0967741935,29.6451612903,-0.5012268481,0.2147794224,0.1893072636,0.2967746269,0.2525635,-1.263672,-0.026611,0.6711487468,0.245322974,0.2265887232,0.5098621872,0.3117675,0.000732,1.157959,-0.4265353165,0.5337262632,0.4481099196,0.4631902303,0.6536865,-1.4729,0.885254,1.0981704525,0.2542976107,0.2098343966,1.2698270444,0.2866711697,0.6224929872,1.9969373954,1.7679736203,-0.1767936805,0.2808228991,0.0913267502,4.3164556962,2.5220237181,3.2719085553,9.6264963739
23,28.3870967742,30.935483871,-0.4764172152,0.2159073585,0.195821808,0.2729992746,0.2769775,-1.294678,0.01001,0.6100208734,0.2927460839,0.2450485758,0.4567409221,0.342041,-0.427734,1.072998,-0.6342742405,0.4911071682,0.3844055628,0.6404370723,0.593261,-1.726562,1.181641,1.141264816,0.2618391367,0.2431860336,1.370177269,0.3052515734,0.6112317233,2.3291566509,1.8319848354,-0.2401809983,0.2375480606,0.294646804,4.3164556962,2.6738296061,3.1326166066,9.6210958195
24,29.6774193548,32.2258064516,-0.5000185316,0.2730859086,0.2026995894,0.3236504466,0.261841,-1.599121,0.24585,0.5362625696,0.4247585881,0.3460373574,0.465713606,0.465332,-1.054443,1.714844,-0.1691677722,0.8767570123,1.173122076,0.7875901778,1.598267,-2.372803,1.793701,1.1982196293,0.3781990399,0.2749074187,1.5769542304,0.3597703736,0.6112317233,2.9015808342,1.8915643924,-0.0093303995,0.3140320129,-0.0856013936,4.3164556962,5.5783460386,3.1025516193,14.5391842207
25,30.9677419355,33.5161290323,-0.5161812532,0.246809404,0.1476803034,0.3265868935,0.198242,-1.599121,0.24585,0.587955481,0.4996544603,0.4292883126,0.5921860428,0.5489505,-1.054443,1.823242,-0.001659557,0.7797704749,0.926625,0.6003480135,1.2785645,-2.372803,1.793701,1.1763501727,0.3702108973,0.2149501786,1.5191209499,0.331171609,0.648050911,2.9015808342,1.8531323924,0.1808751151,0.1521921894,-0.3089756232,4.7088607595,5.3451882297,3.302776771,15.2411861463
26,32.2580645161,34.8064516129,-0.497283557,0.2142175203,0.1697606652,0.2925992067,0.2294925,-1.316406,0.110352,0.7050718861,0.4249149646,0.2765389998,0.6753936141,0.373291,-1.03125,1.823242,-0.0443656076,0.5682648404,0.7250121564,0.3208055787,0.9239505,-1.10376,1.054443,1.1027253043,0.2715300645,0.1974696454,1.2887983996,0.2890396308,0.6228779754,1.9112221317,1.7468261899,0.3499665344,-0.2626416239,-0.2958176492,0.3924050633,2.8754144608,3.22571169,11.0948992044
27,33.5483870968,36.0967741935,-0.4918475696,0.2070381998,0.1842382542,0.2842362553,0.2293705,-1.206055,0.110352,0.6818012911,0.3106606211,0.256993884,0.5601413762,0.3148195,-0.578857,1.506836,-0.1821350633,0.5548387417,0.6207661026,0.3371224254,0.9902345,-1.000977,1.054443,1.0626947079,0.2298890807,0.1837948662,1.181500057,0.2623350994,0.5598212616,1.7806957389,1.7151466076,0.3100841392,-0.1710825685,-0.1241057666,2.3544303797,2.0611105871,3.2530790668,9.2925165638
28,34.8387096774,37.3870967742,-0.4233924051,0.2115816228,0.199802589,0.2234612436,0.250122,-0.909668,0.040771,0.7285124937,0.2111252796,0.2370870138,0.5747401107,0.3177495,0.119629,1.223145,-0.1479275949,0.5711894808,0.6374157006,0.3440101555,1.006714,-0.969727,1.241699,1.0468880999,0.2164014692,0.2016899374,1.1422115099,0.2618941908,0.4599763755,1.5380675721,1.6760809747,-0.0277806064,0.2464040427,0.2754474379,1.9620253165,1.8263542385,3.2219514594,8.1613010638
29,36.1290322581,38.6774193548,-0.4399413924,1.0855204941,0.4745328168,1.3569872891,0.60376,-5.123047,2.443848,0.5659488354,1.5896308112,0.3373493214,2.8152377937,0.5787355,-5.103027,7.967285,0.3736370886,0.9990954082,0.6225763572,1.1251609716,0.8708495,-1.763184,3.387207,1.736300243,1.5204973635,0.4205948665,5.2973860545,0.9279655181,0.189051881,8.0148115635,2.6242056709,-0.0979441942,-0.6193011755,0.2373286556,0.3924050633,90.1645770652,2.982344022,49.3383626807
30,37.4193548387,39.9677419355,-0.4178296329,1.3888676352,0.8386682724,2.0791177798,1.1546635,-5.123047,2.443848,0.7151311519,2.187384163,0.913956183,5.2354968579,1.5109865,-5.103027,7.999023,0.3715232658,1.3801036376,0.9067166472,2.0186056376,1.530274,-4.109619,3.9729,2.4101102634,1.88938504,1.1352720308,9.3332202752,1.8599028024,0.189051881,8.130494276,3.6702277468,-0.1779005253,-0.5581818191,0.1232984142,2.3544303797,139.221257347,3.0709471886,64.637057014
31,38.7096774194,41.2580645161,-0.3662788987,0.988697621,0.6392259552,1.0993095087,0.783569,-3.52417,1.94751,0.8270309747,1.5606713346,0.6258336294,3.0888436652,0.833496,-2.320312,7.999023,0.3473441392,1.0750527032,0.631624665,1.2617566667,1.001343,-4.109619,3.617188,1.8646374935,1.4136237841,0.6962697391,5.4499098407,1.2769468461,0.389822252,8.130494276,2.859921962,-0.2283770595,-0.2507086258,-0.1065617499,1.9620253165,77.9349559153,2.9477255832,42.0621105853
32,40,42.5483870968,-0.3237737342,0.7223506515,0.5016792228,0.6200149521,0.662475,-2.30957,1.601807,0.7054674937,0.7628141787,0.5422209198,1.072204217,0.688232,-1.715332,3.29419,-0.1008238481,1.0400968852,0.829618482,1.0782732886,1.1838375,-2.89331,3.617188,1.5029110182,0.7199387742,0.5180053445,2.7704924578,0.8115499744,0.389822252,3.9219899701,2.2541811772,-0.318023566,-0.1900550647,0.1129701357,3.1392405063,20.2141617072,3.1277007053,24.3577924011
33,41.2903225806,43.8387096774,-0.1940701772,0.512013673,0.383318817,0.2965027793,0.5109865,-2.238525,1.062744,0.7115988481,0.6929143119,0.5679203082,0.9804255663,0.7646485,-0.738037,3.29419,-0.4954076456,0.8273717923,0.7289929374,0.921307703,1.033203,-2.89331,2.535889,1.3533847685,0.609332039,0.4250848017,2.1982360485,0.6334028241,0.3588225952,3.3551606326,1.9897397848,-0.2825711688,-0.0232106269,0.2595282178,2.746835443,14.4801358184,3.1153149423,23.0455782642
34,42.5806451613,45.1290322581,-0.2236977215,0.3669860488,0.2830550268,0.1830146362,0.4226075,-1.267334,0.71875,0.7032825949,0.5975774635,0.496974933,0.8471849949,0.665527,-1.422119,2.498047,-0.4383653038,0.6967020947,0.7253724282,0.6714137229,0.9925535,-2.329102,0.983643,1.2263445688,0.4474671719,0.3597922855,1.701613354,0.4978698848,0.3588225952,3.0692822128,1.7889326329,-0.1808544199,-0.2872386039,0.2234472753,1.5696202532,7.8088479276,3.2317290665,16.9867551044
35,43.8709677419,46.4193548387,-0.5510779241,0.4188284257,0.5910859332,0.4768836571,0.78064,-1.259522,0.365234,0.5491556709,0.4528299891,0.4513686744,0.504031317,0.5820315,-1.422119,1.711182,-0.1624616835,0.6133959749,0.2417913036,0.3978857039,0.8212895,-2.329102,0.983643,1.1303825501,0.3198926402,0.1281674154,1.3788006779,0.2530299482,0.6358302908,2.3373240092,1.6114887468,0.3013513961,-0.6950272091,0.1579016013,1.9620253165,3.9909207483,3.0595953101,9.7096337235
