"lag_seconds","correlation_op","correlation_numpy"
-0.184,-0.22879224,-0.22879224
-0.176,-0.21851612,-0.21851612
-0.168,-0.20928282,-0.20928282
-0.16,-0.20108111,-0.20108111
-0.152,-0.19384864,-0.19384864
-0.144,-0.18734404,-0.18734404
-0.136,-0.18110844,-0.18110844
-0.128,-0.17441513,-0.17441513
-0.12,-0.16641252,-0.16641252
-0.112,-0.15612799,-0.15612799
-0.104,-0.14259692,-0.14259692
-0.096,-0.12500409,-0.12500409
-0.088,-0.10287101,-0.10287101
-0.08,-0.07613191,-0.07613191
-0.072,-0.04512474,-0.04512474
-0.064,-0.01063257,-0.01063257
-0.056,0.02608195,0.02608195
-0.048,0.06345696,0.06345696
-0.04,0.09991822,0.09991822
-0.032,0.13420195,0.13420195
-0.024,0.16546885,0.16546885
-0.016,0.19342972,0.19342972
-0.008,0.21815298,0.21815298
0,0.23986032,0.23986032
0.008,0.25871391,0.25871391
0.016,0.2745049,0.2745049
0.024,0.28683919,0.28683919
0.032,0.29513738,0.29513738
0.04,0.29865013,0.29865013
0.048,0.29650084,0.29650084
0.056,0.28788273,0.28788273
0.064,0.27248131,0.27248131
0.072,0.25059929,0.25059929
0.08,0.22317196,0.22317196
0.088,0.19168713,0.19168713
0.096,0.15822393,0.15822393
0.104,0.12536646,0.12536646
0.112,0.09602977,0.09602977
0.12,0.07289538,0.07289538
0.128,0.05801711,0.05801711
0.136,0.05233879,0.05233879
0.144,0.05571483,0.05571483
0.152,0.06705711,0.06705711
0.16,0.08465087,0.08465087
0.168,0.10647071,0.10647071
0.176,0.130504,0.130504
0.184,0.15485305,0.15485305
0.192,0.17772601,0.17772601
0.2,0.19759517,0.19759517
0.208,0.21321821,0.21321821
0.216,0.22373066,0.22373066
0.224,0.22865829,0.22865829
0.232,0.22773678,0.22773678
0.24,0.22095124,0.22095124
0.248,0.20841402,0.20841402
0.256,0.19031747,0.19031747
0.264,0.16696348,0.16696348
0.272,0.1386556,0.1386556
0.28,0.10572459,0.10572459
0.288,0.06870677,0.06870677
0.296,0.02839065,0.02839065
0.304,-0.01422954,-0.01422954
0.312,-0.05796566,-0.05796566
0.32,-0.10159797,-0.10159797
0.328,-0.14385669,-0.14385669
0.336,-0.18359245,-0.18359245
0.344,-0.21976182,-0.21976182
0.352,-0.25140926,-0.25140926
0.36,-0.27777681,-0.27777681
0.368,-0.29838906,-0.29838906
0.376,-0.31306663,-0.31306663
0.384,-0.32202875,-0.32202875
0.392,-0.32570468,-0.32570468
0.4,-0.32476021,-0.32476021
0.408,-0.32004739,-0.32004739
0.416,-0.31232138,-0.31232138
0.424,-0.30240122,-0.30240122
0.432,-0.29102072,-0.29102072
0.44,-0.27884018,-0.27884018
0.448,-0.26641331,-0.26641331
0.456,-0.25415484,-0.25415484
0.464,-0.24241519,-0.24241519
0.472,-0.2314564,-0.2314564
0.48,-0.22141511,-0.22141511
0.488,-0.21239159,-0.21239159
0.496,-0.20436527,-0.20436527
0.504,-0.19726608,-0.19726608
0.512,-0.19079162,-0.19079162
0.52,-0.18444901,-0.18444901
0.528,-0.1774669,-0.1774669
0.536,-0.16894443,-0.16894443
0.544,-0.15793402,-0.15793402
0.552,-0.1436206,-0.1436206
0.56,-0.12530561,-0.12530561
0.568,-0.10260082,-0.10260082
0.576,-0.07553534,-0.07553534
0.584,-0.04458389,-0.04458389
0.592,-0.01064652,-0.01064652
0.6,0.02510142,0.02510142
0.608,0.06132104,0.06132104
0.616,0.096659,0.096659
0.624,0.13003677,0.13003677
0.632,0.16068697,0.16068697
0.64,0.18829738,0.18829738
0.648,0.21280105,0.21280105
0.656,0.23427811,0.23427811
0.664,0.25275194,0.25275194
0.672,0.26805096,0.26805096
0.68,0.27977119,0.27977119
0.688,0.28726997,0.28726997
0.696,0.28980295,0.28980295
0.704,0.2865747,0.2865747
0.712,0.27699835,0.27699835
0.72,0.26085965,0.26085965
