"epoch","stage","start_sample","end_sample","delta_power","theta_power","alpha_power","sigma_power","beta_power"
73,"N3",216001,219000,239117.161816069,23909.9528469153,7518.1562464985,3128.4461468501,7621.7935583212
74,"N3",219001,222000,112523.260612011,15841.1932139975,6149.0942496749,2989.9468298806,5475.8489284792
75,"N3",222001,225000,185634.871392566,22521.1106178023,7991.2434788734,3020.2775794122,6184.1128541991
76,"N3",225001,228000,78757.4420220689,17164.5760800051,5578.3059870857,2189.9903228209,5929.4287776319
77,"N3",228001,231000,165040.376309485,21332.6166662132,8636.5744750398,3224.5582064095,7392.7829731635
78,"N3",231001,234000,235490.914847907,23565.747214867,8316.1070166244,3443.6360017517,7617.1262114313
79,"N3",234001,237000,175630.391707411,18882.1511584753,8445.9706329791,4250.520654749,10458.5100862056
80,"N1",237001,240000,75602.6340635056,17235.4076594972,7832.5511336506,3752.9568885689,9149.7022167798
81,"N3",240001,243000,148756.827810578,18628.2630017808,7485.5905216318,3182.4298478828,8748.3196705077
82,"N3",243001,246000,105553.1886212,13223.3031961456,7355.9693922034,3202.1343097098,8715.3445084493
83,"N3",246001,249000,215005.053702223,15790.4072892318,7815.4902614841,2693.2375462664,7272.2349744752
84,"N3",249001,252000,204416.463424936,21592.1267334956,7357.0390660995,3519.8964845752,7802.3253603829
85,"N3",252001,255000,265017.422997755,24045.667806434,9369.519487004,4531.1614547322,13381.9980404791
86,"N3",255001,258000,306703.177680075,34487.4343233054,10594.8164198998,5165.1423964249,13468.2412229387
87,"N3",258001,261000,503242.483419593,42937.1418381479,12550.4507647696,7188.8288922901,16659.1094294763
88,"N3",261001,264000,438271.394653982,37634.2891142297,15031.5982937006,7484.3949111653,22054.3460376736
89,"N3",264001,267000,341479.428824359,31928.890628909,13316.1778460274,7985.0977664423,26195.5423067872
90,"N3",267001,270000,614286.273636642,49833.5915487455,14826.4730114974,8809.9497038708,21887.3824175225
91,"N3",270001,273000,567414.055841693,64113.5121516571,21052.7690346851,10556.7979187414,37128.3803996668
92,"N3",273001,276000,646298.628731353,68002.065691386,23067.3704390772,12514.6462656322,36395.8356595589
93,"N3",276001,279000,592258.786722115,82532.0974300716,22289.307673316,11352.0985507156,27358.1070789345
94,"N3",279001,282000,621812.276682738,83922.0004370657,24011.0433247543,13162.852645958,33422.5770553917
95,"N3",282001,285000,608721.989887706,87832.9079058525,22726.7564930024,11413.5177539058,29058.3189897867
96,"N3",285001,288000,483735.021907365,50181.4999203297,15437.8883235839,8758.242101554,24151.5114101867
97,"N3",288001,291000,398694.294471783,52804.8760005191,11150.2456202437,5431.371162476,10757.8878393818
98,"N3",291001,294000,346389.065710963,43635.1146860413,11567.9831029936,5260.6402682309,12895.641180334
99,"N3",294001,297000,404951.306045414,42277.7089750458,13913.1906619856,6923.5954970951,20766.7745675493
100,"N3",297001,3e+05,317993.668100243,44280.9214392605,13259.0554543798,6206.3977480447,17254.4727611755
101,"N3",300001,303000,523912.52036804,45556.3268985272,12387.2550170367,5725.4034138785,13295.7675027327
102,"N3",303001,306000,311652.315223987,54557.4939496384,9371.0203558701,4130.2893898802,7337.8802549777
103,"N3",306001,309000,380722.59195584,40599.0540512531,9835.3680875971,5522.6074397848,11237.5564104639
104,"N3",309001,312000,471555.68732215,47823.3091453673,12456.5151137943,6354.3831492214,18590.1859544263
105,"N3",312001,315000,364757.728220699,27066.692179777,8933.8279726283,3698.1731777147,7394.7610198015
106,"N3",315001,318000,348366.332424634,31615.1153858132,12616.4899670274,6730.2510118173,22458.5228576313
107,"N3",318001,321000,851548.061970902,45717.7624310414,15592.6123645493,7383.5985100479,24125.3407063661
108,"N3",321001,324000,526428.790330558,59464.6812238796,13472.6159711671,5681.9902806825,12297.8034364698
109,"N3",324001,327000,185879.806577183,25361.3795791879,7983.2670019566,3492.7746654742,6431.7524610322
110,"N3",327001,330000,258507.367514222,31285.5393068238,8978.5928628108,4274.2859374923,8112.4495830344
111,"N3",330001,333000,113464.812228209,18284.4063223646,6468.681143335,3346.9740004951,7501.341639322
112,"N3",333001,336000,981557.919939463,58013.3110303271,14095.6080525716,5627.6342555911,10553.4940208157
113,"N1",336001,339000,671531.046893025,44647.0915035644,14125.145155318,6532.5002530365,13706.5665629931
114,"N1",339001,342000,898275.788430551,71251.1812282931,18303.798256067,6655.686749247,12919.9138868429
115,"N1",342001,345000,617256.549555837,31618.6417630584,11201.392534119,5823.1923628369,14525.2905301983
116,"N3",345001,348000,409482.002922057,47610.8263134736,14463.7930568171,4913.6826316282,8418.2636074723
117,"N3",348001,351000,169844.477713712,36441.7890534062,10003.4063700656,5031.5024937821,11524.1530703176
118,"N3",351001,354000,311034.966514904,29460.2971938665,9010.494858478,4995.5915483072,13750.6658203749
119,"N3",354001,357000,294658.284721941,25781.8129971498,8698.4508953881,4141.7483195369,9034.6715401361
120,"N3",357001,360000,332845.056404787,36576.3018922229,10399.6911155695,5056.474771678,8375.3212034103
121,"N3",360001,363000,125147.634380667,19164.2367665834,8655.0176069493,3135.9877453029,9063.6530090392
122,"N3",363001,366000,117243.212671923,19134.9425587687,6994.7649651006,3542.6117294072,7843.1892511176
123,"N3",366001,369000,233596.849798923,29732.6201414622,6876.8840754326,3049.3427466654,6542.6382074787
124,"N3",369001,372000,261539.315777542,28621.4325439897,9036.7217509342,4387.3909311903,8274.4333704412
125,"N3",372001,375000,182172.743784145,27133.529115555,9723.3815552165,5084.540097349,12530.7709054319
126,"N3",375001,378000,226174.476145486,29589.5712250261,10570.8686725308,3824.8455556471,8800.73430969
127,"N3",378001,381000,233765.138895946,24221.9281553373,9127.6938350988,3360.3029550636,7205.0124404889
128,"N3",381001,384000,254362.471102079,38372.8046209021,10454.9777221157,4744.553456539,12241.3069575721
129,"N3",384001,387000,530808.275041949,39835.2875927053,12061.2599674336,5803.8964140986,13573.437961634
130,"N3",387001,390000,324617.792893273,42692.4017696183,10508.0517359619,5116.653814974,7994.2318418425
131,"N3",390001,393000,454430.350003417,48333.9798881901,9613.202466327,4391.6154236954,8502.3436437602
132,"N3",393001,396000,230412.684965203,32763.9793922421,9237.0683220739,4021.6903552649,8477.0888065113
133,"N3",396001,399000,201388.93198844,30993.8657669817,8681.5292755194,3847.5200213743,8812.2436333492
134,"N3",399001,402000,142897.273645993,24442.7079071877,8939.4790379175,3797.8981098326,9307.4094474351
135,"N3",402001,405000,205322.657870651,32785.0389842468,7112.4188573977,3198.4556991373,5876.816576995
136,"N3",405001,408000,195695.383545675,17574.1649013524,6768.2615406873,3725.3260231754,8449.6949975411
137,"N3",408001,411000,291257.975723715,32358.3801236305,8704.7046152552,4409.5594901311,8070.7177788762
138,"N3",411001,414000,206311.315117598,32848.8701627946,7719.6838141187,3433.371204078,6581.8140431561
139,"N3",414001,417000,182856.597353694,26780.7617623788,8452.8487209822,4244.7543568518,7954.3210068887
140,"N3",417001,420000,135835.92101399,20481.7275173789,9453.8744548803,4055.9207298215,8958.7181182334
141,"N3",420001,423000,239590.57396815,33709.0753609571,9636.462533375,5127.6510324996,10521.3937389606
142,"N3",423001,426000,163970.228521565,21346.7235743146,7768.7965891847,3945.479867773,8235.3765172858
143,"N3",426001,429000,331481.429499533,37197.4786260014,10403.2748700861,5832.5884082668,14255.4521345176
144,"N3",429001,432000,278363.258213701,29106.5004506038,9813.5972182607,4893.5981007147,9296.0927030712
145,"N3",432001,435000,209737.439143226,26816.2679766662,8122.3842724386,4037.6691795786,8906.1919674774
146,"N3",435001,438000,246490.172558729,28716.9738726209,8881.1075870064,4154.0969459991,10341.5518752628
147,"N3",438001,441000,222324.098859109,30060.9798886552,10468.6178194713,5114.0581310115,13750.8717015372
148,"N3",441001,444000,305534.269371433,32128.3634864139,11793.8934481545,5964.5234735118,15380.8411462578
149,"N3",444001,447000,208349.814350799,29750.904962558,9107.4785290341,3734.6328779449,7994.1524485513
150,"N3",447001,450000,254057.826805894,30998.3894885755,8921.2945349263,4793.4572029467,12091.5213986912
151,"N3",450001,453000,285552.972449016,19673.272218784,8773.1290666474,4845.915803457,10291.2697030959
152,"N3",453001,456000,235285.186310736,31166.740643298,11631.5390854822,5508.8610783064,14243.8650706885
153,"N1",456001,459000,539090.098661809,73811.334660371,33367.8393330703,17437.2314838513,56580.909623317
154,"N3",459001,462000,305446.434095639,48584.5177376645,17276.3834508615,12509.9054274535,30471.1696497775
155,"N3",462001,465000,420405.235970941,33854.7287562294,13397.183417454,5955.4382629665,17237.3296895565
156,"N3",465001,468000,417293.407772513,43783.8827555866,19039.4642411088,10310.1012777032,27999.7902475087
157,"N3",468001,471000,433784.737982075,31877.923382172,12061.1867473469,5897.3007175567,16097.4481538603
158,"N3",471001,474000,392017.252936191,46820.2840999471,15183.2859964475,8867.3796390834,22671.1896630444
159,"N3",474001,477000,523089.544269007,73431.5739679931,20692.7256854154,12669.3552844659,28401.3322200722
160,"N3",477001,480000,570208.346226202,78197.0741592897,21407.807166969,11716.8003381903,30172.8479684479
161,"N3",480001,483000,494703.240044617,44887.3929209349,17867.2510798005,10810.3361871254,30057.220310573
162,"N3",483001,486000,507683.871499832,56488.946139785,21149.4449426363,12875.6223252443,39966.8786260977
163,"N3",486001,489000,420262.463159615,38170.6190661897,20588.2675094316,12680.6040895551,35407.3373989774
164,"N3",489001,492000,315914.92878872,31206.6138727946,11558.7505205657,6452.8060028657,18495.2470725077
165,"N3",492001,495000,340466.219643374,34814.0155313291,12186.29128586,6580.1092986746,18431.4752382044
166,"N3",495001,498000,350315.867399314,50452.4546019032,15976.4893759878,9355.6294505286,27828.7539200572
167,"N3",498001,501000,417751.660397688,52656.0880639586,19277.2221363524,11300.4630983176,33999.9094830577
168,"N3",501001,504000,409293.142325462,64464.3161026523,18905.4098878354,11791.9656294315,30569.2181725934
169,"N3",504001,507000,146246.247752699,28362.8065362098,8243.2476215638,3959.7832993638,10261.3170813598
170,"N3",507001,510000,238817.957854543,37121.5637076164,8981.0445883054,3738.8951942862,8131.1980104815
171,"N3",510001,513000,222264.997915932,40069.0772333501,10246.8540864922,4654.9730350587,11554.9671164959
172,"N3",513001,516000,187435.17435825,27504.1203557611,7871.9476680776,3582.3181941546,7872.2693682294
173,"N3",516001,519000,136175.988855462,28240.4114189038,8487.0957206694,3983.0630219129,8809.7839345221
174,"N3",519001,522000,193059.291038894,20566.7158662803,8848.6779184063,4129.0927498624,12149.5223001836
175,"N3",522001,525000,288095.7465123,30559.6791054937,8842.5694775231,4614.6990679659,11630.6935399476
176,"N3",525001,528000,225719.284182098,31160.4615684578,7697.6099259619,3927.2579176755,10126.6673270467
177,"N3",528001,531000,351254.662933061,34491.0956449274,11305.4868332604,6186.5775031958,13487.0583011316
178,"N3",531001,534000,394084.925628794,44649.616800237,11930.5577659223,5960.8969336593,15572.0469249598
179,"N3",534001,537000,332049.26222569,28830.8648459669,12086.6612690915,4711.9597029275,12100.0849210904
180,"N3",537001,540000,222693.826185499,30911.7324607992,11874.4027152756,6838.0105686175,15990.2312003389
181,"N3",540001,543000,312329.399293489,33711.6800094814,16410.825984584,10374.6442204238,32366.6208416204
182,"N3",543001,546000,603709.798866919,40178.007882692,22094.1153318824,16451.7561341101,59135.1032906839
183,"N3",546001,549000,375458.162269763,39976.94243979,17690.0308871534,10084.8050038042,36898.814214228
184,"N3",549001,552000,378081.036662197,37282.925750784,14927.000879388,7313.1141496526,17131.1153810437
185,"N3",552001,555000,353183.800776473,38823.9852619841,11855.2659708519,6364.7332428807,14083.7327528295
186,"N3",555001,558000,218948.857942314,25408.4678308089,9499.9887240944,4672.424323536,11780.650003562
187,"N3",558001,561000,343361.976109063,26802.3704225212,10708.3057272943,4304.0118866312,9996.7746059154
188,"N3",561001,564000,521671.958770094,37325.6938925502,12362.6809129652,6282.7048652067,12634.0445364793
189,"N3",564001,567000,229684.056885942,21055.730397569,10561.9628964996,5337.7428507014,11796.7158270629
190,"N3",567001,570000,392576.306567215,46759.9434297334,15509.9154620207,6602.305196891,17816.2241003324
191,"N3",570001,573000,393344.419646295,35711.4949755296,12000.0557932112,5860.5616864499,13942.343291169
192,"N3",573001,576000,398791.677177265,28711.0362812103,10861.2707563612,6141.2801109609,13151.9115176375
193,"N1",576001,579000,368245.201962433,38999.8438312262,11667.0454865923,7030.3268199146,17653.9897907261
194,"N3",579001,582000,339780.259382964,37043.3805012938,13370.6415384888,5029.7627810784,11805.8274070775
195,"N3",582001,585000,510111.85120014,29610.4978635133,12102.0919166622,7280.8227528234,19569.605980985
196,"N1",585001,588000,587271.951497056,45351.8214658595,12538.5672381139,4598.9655531506,9953.1784003316
197,"N3",588001,591000,444800.136773258,40729.0422718764,11081.555643953,6874.2576366148,18831.7628299533
198,"N3",591001,594000,190858.520636919,21046.8188050808,7372.1030991739,3516.6877921902,9068.6655522537
199,"N3",594001,597000,426259.711093028,41898.8936866767,13867.1517029475,7653.2404100989,18265.1412889903
200,"N3",597001,6e+05,425450.269135669,37629.1592690473,13384.9568531332,5826.6997644814,13703.7532476003
201,"N3",600001,603000,843858.259857105,46289.4298440987,12869.6592795247,6175.8892985901,15465.8218308001
202,"N3",603001,606000,438610.710838065,45236.2327645934,16121.3535771543,7515.5403285363,16933.5377440999
203,"N3",606001,609000,299100.587061354,25093.2227203752,9319.6444320168,5526.1529883737,17987.6955915956
204,"N3",609001,612000,397441.541344229,41548.2136511079,14556.9685683369,9326.7039145252,21840.1419355598
205,"N3",612001,615000,165630.145806713,22238.0425262317,8685.3442980141,4600.7746126261,12978.2099156255
206,"N3",615001,618000,174634.678478779,22812.5666843838,9082.7423385806,5120.1552951004,13273.5056876773
207,"N3",618001,621000,224842.433165267,24166.5951057197,10262.7942451722,5625.6540906999,15243.6594679169
208,"N3",621001,624000,211854.278412458,24652.7451389089,7138.8271862863,3283.7331023911,7111.7951790308
209,"N3",624001,627000,163506.50278963,20185.4435023648,8746.5816296251,4698.2892647543,11366.5907618394
210,"N3",627001,630000,256288.898291778,30746.0792225271,12637.5582478508,6661.6710938731,17396.167729293
211,"N3",630001,633000,608702.583643653,50017.527240667,15425.0458280197,7903.3462969609,22865.290972104
212,"N3",633001,636000,399818.334891671,44409.5360766328,11882.3673173866,6334.7597647427,19028.5737688428
213,"N3",636001,639000,215237.039543694,22856.9681452926,5810.4591922847,3316.9782153811,7896.6162626031
214,"N3",639001,642000,227044.857283231,30117.6301941423,8041.5326134113,4193.3285455936,11139.2881234216
215,"N1",642001,645000,436007.741291695,47516.1958931719,16584.8596333607,7829.9097331871,22254.7374515243
216,"N3",645001,648000,181832.070388324,31788.1483987197,9956.1636306537,5590.7056666286,17043.1826735484
217,"N3",648001,651000,191758.672689888,27923.2091241777,9783.6524735329,5275.9196710147,14148.3889158434
218,"N3",651001,654000,253962.341819844,36082.1658288638,12774.7609734241,6153.5933710931,15211.6857077738
219,"N3",654001,657000,381146.882346729,35735.7183208432,12628.0660335261,5734.4704499813,13665.7501108714
220,"N3",657001,660000,201321.193415548,25481.0452274161,9438.6758038166,4818.0681599841,13139.9694523014
221,"N3",660001,663000,170027.828422566,25144.3211449973,9903.2976180643,4633.404245715,11482.5221129525
222,"N3",663001,666000,299525.543964534,40176.8339661374,11473.0334096762,5710.7072653275,14629.1321871862
223,"N3",666001,669000,334843.271015264,30050.9979394531,11276.1457501036,5868.7119117372,16835.4072753661
224,"N3",669001,672000,104834.871203423,15503.7101422621,7043.6733044471,3611.1197451984,9744.3729296555
225,"N3",672001,675000,232925.479899035,30106.1659990289,9143.4771011163,5024.872595304,13052.5334812133
226,"N3",675001,678000,378411.483072648,42517.2247503285,12163.8260515575,5539.9762058369,12435.68775318
227,"N1",678001,681000,219575.875724193,33174.9500477307,9032.4941419709,4970.6892876897,13884.4089429637
228,"N3",681001,684000,482377.132642872,37335.7398901353,13707.4331615332,7906.6873112422,20305.2878784649
229,"N1",684001,687000,371115.297711992,41811.0542297609,15359.6104742545,9977.2219494533,27746.1664016561
230,"N3",687001,690000,306507.508625264,44968.2722142218,14807.9686628073,7166.1421278962,23522.183736204
231,"N3",690001,693000,470863.181788723,44860.3849336544,16533.966713735,7640.0186997752,21639.0122110212
232,"N3",693001,696000,357279.48204033,38339.1734954886,14680.9491516303,7177.3112261928,18429.3583078298
233,"N3",696001,699000,321074.410965062,27949.083636108,11258.1229358246,6132.4397910135,15509.7362117116
234,"N3",699001,702000,152637.748747502,23993.2972400958,8578.31599232,4167.6623832723,11409.8885680139
235,"N3",702001,705000,215533.952531045,31324.416102045,10363.0103206758,5772.9189660534,16147.6599908499
236,"N3",705001,708000,292953.874974441,30332.5796225271,8315.7051832071,4584.1331973846,10540.5014758804
237,"N1",708001,711000,267164.110551772,33300.0878776921,10342.1448465094,5056.8859570281,11491.8309866347
238,"N3",711001,714000,305771.722778922,31325.0826152053,9117.4611889932,4440.0890644837,12777.2912434199
239,"N3",714001,717000,247366.607949525,29030.8269030247,10822.9480016532,6188.5423522723,13221.1729972249
240,"N3",717001,720000,293803.107874136,34924.8876559664,8082.0931297902,4076.7023327936,10901.0349728038
241,"N3",720001,723000,517841.699619512,42992.5434725555,16124.5907592091,8927.0976665655,26287.2598159583
242,"N3",723001,726000,420606.737678196,39133.4192991774,12752.7309309662,7135.6392015556,21912.0086146346
243,"N1",726001,729000,433328.843137558,38998.6256082304,17627.2788133798,11169.1655924936,35855.2124742145
244,"N3",729001,732000,744036.459865604,34452.597237436,12704.4619105647,5655.6993830684,13112.9755874815
245,"N3",732001,735000,534411.557212385,28582.2102942635,9006.015674306,4965.7088177538,11951.7990379777
246,"N1",735001,738000,500363.580345907,49670.1582028136,21321.6639864079,14370.3006363407,35130.9700850284
247,"N3",738001,741000,686077.669259351,50821.7327023374,16095.2585413797,10873.692775893,25339.5767034932
248,"N3",741001,744000,577260.149211902,45334.6374610425,14274.5038216035,8293.945715456,22960.2768895933
249,"N3",744001,747000,641903.477942214,46119.1899862424,11554.9040689222,5160.8353599735,13625.6406348156
250,"N3",747001,750000,494649.103837105,34191.8206679217,14587.9560370446,8522.4637128709,31643.9258425416
251,"N1",750001,753000,392699.127394075,24980.4987114908,10275.2369849693,5939.4606110518,16736.6116031947
252,"N3",753001,756000,529438.479398539,31923.7820272722,11334.4487218924,5298.16232781,17279.4487638758
253,"N3",756001,759000,772806.118612811,40127.1049563965,17617.3752067855,8628.9478736006,29142.7382706345
254,"N3",759001,762000,470825.043200471,45695.183769142,9823.477424304,4531.1391190415,9900.5306606891
255,"N3",762001,765000,466699.050533442,44278.9694793526,13033.9030426274,9275.0629423289,22299.7208137132
256,"N3",765001,768000,280656.053020507,32219.2324622578,8785.3532469524,4620.733108639,10288.6047324237
257,"N3",768001,771000,544330.027748182,35689.0027660924,12466.4288127978,6935.872184394,20982.988562586
258,"N3",771001,774000,397643.110260159,47442.8850952725,18585.3835620476,9625.0857694024,27679.7804306468
259,"N3",774001,777000,768811.848616233,59435.2398919661,18122.5355773826,8374.7499475031,25145.6843214365
260,"N3",777001,780000,447745.756585628,74148.5865298198,21380.8434704833,10034.706644354,27329.5006692162
261,"N3",780001,783000,389768.488424705,48791.0838616031,13212.0838189561,8323.3855062398,25079.9946504739
262,"N3",783001,786000,321854.582709902,35545.2155028518,15904.6933987244,8155.4757014083,26775.1095525038
263,"N3",786001,789000,501491.013392922,46612.9209121904,13126.5096882595,6950.291389191,20047.5416568476
264,"N3",789001,792000,504064.85062538,40575.4139486491,17418.2202636365,8450.0691336734,25543.3665626058
265,"N3",792001,795000,606583.723683497,52794.6608463287,16485.2104768322,8702.0437792755,23357.9508013526
266,"N3",795001,798000,544231.54078924,43570.8978269539,14254.9951420178,8426.3619694521,22475.787242349
267,"N3",798001,801000,506093.015433614,48668.2158702149,16614.66601649,9262.0358444832,24853.1340377956
268,"N3",801001,804000,510817.415032048,49640.9296513637,16750.2623893163,7407.3365268918,17033.2779681508
269,"N3",804001,807000,482699.212662795,47871.5663673758,15165.0247295501,7590.7874706438,19224.167106606
270,"N3",807001,810000,395992.859675391,29383.2992670699,13340.1880887125,7658.5127446534,20945.1361856697
271,"N3",810001,813000,118037.158980217,16790.4773227248,6513.2652284153,3408.8978040637,9973.5554456078
272,"N1",813001,816000,332614.635277755,22662.1498896015,9114.2548086145,4190.5306630951,13808.7551358478
273,"N3",816001,819000,178038.406833176,17560.8225189344,7343.1915117933,3424.2991685883,10550.8514558921
274,"N3",819001,822000,250623.902617304,19202.8454499072,8294.4174385842,4425.8810238912,13914.983627999
