"frequency_hz","psd_op","psd_scipy"
0.146728,2066.58877782,2066.58877781
0.147505,2252.46180746,2252.46180746
0.148282,14598.3680865,14598.3680865
0.149059,25195.76723718,25195.76723718
0.149836,17755.24770885,17755.24770886
0.150613,3469.62982153,3469.62982153
0.151389,2539.19840209,2539.1984021
0.152166,8596.94772111,8596.94772111
0.152943,605.66256332,605.66256332
0.15372,5403.46817807,5403.46817807
0.154497,1008.25849932,1008.25849932
0.155274,1242.29590613,1242.29590613
0.156051,4873.65133299,4873.651333
0.156828,718.99718539,718.99718539
0.157605,1816.22789021,1816.22789021
0.158382,4812.51928062,4812.51928063
0.159159,7507.54500281,7507.54500281
0.159935,25588.03529609,25588.03529608
0.160712,12607.09904805,12607.09904806
0.161489,4797.71963562,4797.71963562
0.162266,18551.28562905,18551.28562905
0.163043,20647.09683678,20647.09683678
0.16382,2871.63968459,2871.63968458
0.164597,28957.05951058,28957.05951058
0.165374,4433.17856236,4433.17856236
0.166151,1072.30143503,1072.30143503
0.166928,5744.81700692,5744.81700692
0.167705,2624.27676018,2624.27676018
0.168481,1781.555722,1781.555722
0.169258,6229.62877612,6229.62877612
0.170035,266.72396449,266.72396449
0.170812,3770.20364601,3770.20364601
0.171589,3420.04104046,3420.04104046
0.172366,1826.05839172,1826.05839172
0.173143,6323.68553747,6323.68553747
0.17392,3101.46365043,3101.46365043
0.174697,4138.23482586,4138.23482586
0.175474,86.06322976,86.06322976
0.17625,432.54435471,432.54435471
0.177027,6604.66295544,6604.66295544
0.177804,16488.25974907,16488.25974906
0.178581,190.27158905,190.27158905
0.179358,13368.59594438,13368.59594438
0.180135,2147.40630801,2147.406308
0.180912,131.33165739,131.33165739
0.181689,3716.52238147,3716.52238147
0.182466,6776.61819579,6776.61819579
0.183243,834.12144595,834.12144595
0.18402,1721.77387336,1721.77387337
0.184796,3282.98587771,3282.98587771
0.185573,30524.15441737,30524.15441737
0.18635,5699.38235194,5699.38235194
0.187127,2706.93405398,2706.93405398
0.187904,10036.27011932,10036.27011932
0.188681,738.04496103,738.04496103
0.189458,6291.54372984,6291.54372985
0.190235,209.75153942,209.75153942
0.191012,6458.62373008,6458.62373008
0.191789,2214.1778287,2214.17782869
0.192566,8138.3672222,8138.36722219
0.193342,7147.84197476,7147.84197476
0.194119,7230.27137356,7230.27137355
0.194896,1322.81554847,1322.81554847
0.195673,2622.9754187,2622.9754187
0.19645,506.12916803,506.12916803
0.197227,10983.73096894,10983.73096894
0.198004,5541.40580783,5541.40580783
0.198781,13684.69941744,13684.69941743
0.199558,1615.24854192,1615.24854192
0.200335,2895.79028954,2895.79028954
0.201112,16009.36356184,16009.36356184
0.201888,2658.15077279,2658.15077279
0.202665,13781.33970314,13781.33970314
0.203442,1463.62958908,1463.62958908
0.204219,4215.83433693,4215.83433693
0.204996,1165.99909987,1165.99909987
0.205773,19094.03631941,19094.03631941
0.20655,2162.88426326,2162.88426326
0.207327,986.60864663,986.60864663
0.208104,976.07188048,976.07188048
0.208881,1604.52127096,1604.52127096
0.209658,7586.26699696,7586.26699697
0.210434,12846.68198259,12846.68198258
0.211211,657.75888552,657.75888552
0.211988,7132.21670985,7132.21670986
0.212765,2718.51553059,2718.51553058
0.213542,12435.24659998,12435.24659998
0.214319,2728.73750237,2728.73750237
0.215096,5016.29689394,5016.29689394
0.215873,10588.61037064,10588.61037064
0.21665,1483.70149577,1483.70149577
0.217427,8205.79159218,8205.79159217
0.218204,3215.20410542,3215.20410542
0.21898,3520.17981388,3520.17981388
0.219757,653.019237,653.019237
0.220534,927.79940149,927.79940149
0.221311,2342.68038696,2342.68038696
0.222088,2843.80891386,2843.80891386
0.222865,11526.27346662,11526.27346662
0.223642,1619.95487213,1619.95487214
0.224419,559.67699251,559.67699251
0.225196,20890.28797588,20890.28797587
0.225973,1550.39571722,1550.39571721
0.22675,146.03110074,146.03110074
0.227526,10361.87119108,10361.87119107
0.228303,13520.30049801,13520.30049801
0.22908,6274.5716289,6274.5716289
0.229857,4474.30686488,4474.30686488
0.230634,2685.00577343,2685.00577343
0.231411,13094.2649159,13094.26491591
0.232188,2226.73623751,2226.73623751
0.232965,12327.34177681,12327.3417768
0.233742,13269.9082432,13269.90824321
0.234519,5348.3088164,5348.3088164
0.235295,14629.04584641,14629.0458464
0.236072,18684.95016294,18684.95016293
0.236849,2319.53604018,2319.53604018
0.237626,8296.28130719,8296.28130718
0.238403,2595.91501255,2595.91501255
0.23918,3407.05840346,3407.05840345
0.239957,5408.54118629,5408.54118628
0.240734,496.24150678,496.24150678
0.241511,4819.19274401,4819.192744
0.242288,3278.19068898,3278.19068897
0.243065,1900.96935665,1900.96935665
0.243841,23201.26948812,23201.26948811
0.244618,1802.33337878,1802.33337878
0.245395,1700.83292535,1700.83292535
0.246172,2019.46510492,2019.46510492
0.246949,5308.53782038,5308.53782038
0.247726,853.78981356,853.78981356
0.248503,15396.77500678,15396.77500678
0.24928,4102.09444905,4102.09444904
0.250057,16363.32237104,16363.32237103
0.250834,13166.59205067,13166.59205066
0.251611,4294.07381744,4294.07381744
0.252387,11930.93905608,11930.93905608
0.253164,19305.12273553,19305.12273552
0.253941,2791.68778941,2791.6877894
0.254718,46877.53380778,46877.53380777
0.255495,1487.12044079,1487.12044079
0.256272,2120.0292451,2120.0292451
0.257049,6289.49029133,6289.49029133
0.257826,3956.04584498,3956.04584498
0.258603,7196.85714996,7196.85714996
0.25938,29362.79052646,29362.79052645
0.260157,16731.49402463,16731.49402464
0.260933,11959.90034044,11959.90034044
0.26171,619.24402537,619.24402537
0.262487,10191.01788719,10191.0178872
0.263264,9528.48763143,9528.48763143
0.264041,11056.59368785,11056.59368786
0.264818,25397.20718784,25397.20718786
0.265595,10205.69564757,10205.69564756
0.266372,3746.07856184,3746.07856185
0.267149,3180.83218139,3180.8321814
0.267926,4802.99744609,4802.99744609
0.268703,2019.334541,2019.334541
0.269479,9666.58566817,9666.58566817
0.270256,1127.62073741,1127.62073741
0.271033,640.33926932,640.33926932
0.27181,1297.84579824,1297.84579824
0.272587,22550.18070108,22550.18070108
0.273364,2862.8744381,2862.8744381
0.274141,6169.29161254,6169.29161255
0.274918,7400.66396922,7400.66396923
0.275695,15328.22837552,15328.22837552
0.276472,9673.74014502,9673.74014503
0.277249,15467.11049657,15467.11049657
0.278025,17897.47700409,17897.47700407
0.278802,8604.94056885,8604.94056885
0.279579,20903.51315886,20903.51315884
0.280356,6711.95491558,6711.95491558
0.281133,3360.41585668,3360.41585667
0.28191,79.21501909,79.21501909
0.282687,5730.06967509,5730.06967509
0.283464,794.88110442,794.88110442
0.284241,9980.92324106,9980.92324106
0.285018,3406.81986146,3406.81986146
0.285795,313.96338987,313.96338987
0.286571,4007.62121506,4007.62121506
0.287348,26023.7804406,26023.78044061
0.288125,7815.08167368,7815.08167369
0.288902,15267.712405,15267.712405
0.289679,3384.94358641,3384.94358642
0.290456,13657.6255678,13657.6255678
0.291233,31777.50543891,31777.50543891
0.29201,12934.98388532,12934.98388531
0.292787,6542.46919664,6542.46919664
0.293564,5108.47076839,5108.47076839
0.294341,43653.52079189,43653.5207919
0.295117,7401.07354349,7401.07354349
0.295894,8019.50080285,8019.50080285
0.296671,3346.15422153,3346.15422153
0.297448,5435.05609131,5435.05609131
0.298225,6907.38655664,6907.38655663
0.299002,69955.87751598,69955.877516
0.299779,4893.04461707,4893.04461708
0.300556,12676.49518042,12676.49518043
0.301333,54719.12968785,54719.12968784
0.30211,8273.7089722,8273.70897221
0.302886,68176.42923449,68176.42923448
0.303663,7798.79518923,7798.79518924
0.30444,5933.32667661,5933.32667662
0.305217,41574.29516732,41574.29516733
0.305994,15930.36544236,15930.36544237
0.306771,21695.39824449,21695.39824449
0.307548,60825.83559725,60825.83559726
0.308325,9655.97845145,9655.97845146
0.309102,10859.307543,10859.30754301
0.309879,1376.35455688,1376.35455688
0.310656,531.95876451,531.95876451
0.311432,1284.99953159,1284.9995316
0.312209,15985.48179286,15985.48179284
0.312986,23876.14741739,23876.14741739
0.313763,2722.6215756,2722.62157561
0.31454,19147.01789638,19147.01789637
0.315317,8167.84508249,8167.84508249
0.316094,10747.16986287,10747.16986285
0.316871,22182.33813898,22182.33813899
0.317648,4312.12284971,4312.12284971
0.318425,15886.98035074,15886.98035074
0.319202,11066.02691567,11066.02691566
0.319978,5753.96781713,5753.96781713
0.320755,3653.18854046,3653.18854046
0.321532,6663.3353654,6663.33536541
0.322309,4771.78403795,4771.78403794
0.323086,34333.52538334,34333.52538333
0.323863,8277.13877744,8277.13877744
0.32464,45489.07338345,45489.07338343
0.325417,227.26795082,227.26795082
0.326194,33734.09740943,33734.09740941
0.326971,985.66335689,985.66335689
0.327748,7053.92179555,7053.92179557
0.328524,22216.09243971,22216.0924397
0.329301,5023.55757699,5023.55757698
0.330078,2564.1606906,2564.1606906
0.330855,4928.34178647,4928.34178646
0.331632,15552.86156546,15552.86156545
0.332409,8812.47856224,8812.47856224
0.333186,965.22658275,965.22658275
0.333963,3244.49449755,3244.49449754
0.33474,3531.18149035,3531.18149035
0.335517,5138.69661659,5138.69661659
0.336294,4137.07098762,4137.07098763
0.33707,1847.40221991,1847.4022199
0.337847,7915.80108207,7915.80108207
0.338624,2460.23176322,2460.23176321
0.339401,606.92094126,606.92094126
0.340178,13641.30094343,13641.30094344
0.340955,3027.35346331,3027.35346332
0.341732,4516.71946101,4516.71946102
0.342509,2233.08860675,2233.08860675
0.343286,3797.91986867,3797.91986867
0.344063,15252.26263647,15252.26263647
0.34484,110.14909425,110.14909425
0.345616,2478.24673712,2478.24673712
0.346393,565.34301206,565.34301206
0.34717,213.01223452,213.01223452
0.347947,10395.5316345,10395.5316345
0.348724,472.90658053,472.90658053
0.349501,10014.83010896,10014.83010895
0.350278,2777.51818626,2777.51818626
0.351055,440.87599535,440.87599535
0.351832,2230.3184428,2230.3184428
0.352609,1352.60822421,1352.60822421
0.353386,5289.84091506,5289.84091506
0.354162,2788.32473918,2788.32473919
0.354939,1086.86916763,1086.86916763
0.355716,2391.78621372,2391.78621372
0.356493,3722.90361442,3722.90361441
0.35727,78.39690578,78.39690578
0.358047,578.38593034,578.38593034
0.358824,31.1628489,31.1628489
0.359601,836.39612426,836.39612426
0.360378,221.14853987,221.14853987
0.361155,2047.81150695,2047.81150695
0.361932,734.04602778,734.04602778
0.362708,2587.25611447,2587.25611447
0.363485,466.46190778,466.46190778
0.364262,3999.61257203,3999.61257202
0.365039,17153.39882894,17153.39882894
0.365816,748.71323478,748.71323479
0.366593,1193.56528342,1193.56528342
0.36737,2041.6358758,2041.6358758
0.368147,5351.030371,5351.03037101
0.368924,1530.35852845,1530.35852845
0.369701,1.85315827,1.85315827
0.370477,8267.60661862,8267.60661862
0.371254,115.20943798,115.20943798
0.372031,3903.86876917,3903.86876917
0.372808,2307.84186165,2307.84186165
0.373585,1695.84591498,1695.84591498
0.374362,2122.67012919,2122.67012918
0.375139,1638.46755463,1638.46755463
0.375916,4961.92003828,4961.92003828
0.376693,10103.29400473,10103.29400473
0.37747,182.72088542,182.72088542
0.378247,11791.29950797,11791.299508
0.379023,88.23137459,88.23137459
0.3798,631.31993259,631.3199326
0.380577,4354.79304167,4354.79304167
0.381354,1372.05021836,1372.05021836
0.382131,479.99838513,479.99838513
0.382908,454.90506504,454.90506504
0.383685,3147.59152588,3147.59152587
0.384462,377.74843828,377.74843828
0.385239,1490.18300702,1490.18300702
0.386016,578.28816251,578.28816251
0.386793,3589.15504845,3589.15504845
0.387569,109.44581008,109.44581008
0.388346,808.56655473,808.56655473
0.389123,7203.46701974,7203.46701973
0.3899,3780.53822334,3780.53822333
0.390677,484.10140616,484.10140616
0.391454,396.44998024,396.44998024
0.392231,1991.84221163,1991.84221163
0.393008,2129.36460527,2129.36460527
0.393785,3178.51353902,3178.51353902
0.394562,6340.96270158,6340.96270159
0.395339,1953.6847935,1953.6847935
0.396115,792.04898595,792.04898595
0.396892,2310.40563054,2310.40563054
0.397669,140.21819113,140.21819113
0.398446,7379.10017142,7379.10017141
0.399223,7129.07709848,7129.07709848
0.4,139.59071728,139.59071728
