"channel","beat","sample","rr_pre_ms","rr_post_ms","prematurity","compensatory","morph_corr","is_pvc"
1,26,8184,794.4444444444,811.1111111111,0.8537313433,0.8626865672,0.9851784052,FALSE
1,27,8476,811.1111111111,786.1111111111,0.871641791,0.8582089552,0.9789586406,FALSE
1,28,8759,786.1111111111,741.6666666667,0.8447761194,0.8208955224,0.989440225,FALSE
1,29,9026,741.6666666667,686.1111111111,0.7970149254,0.7671641791,0.9922774659,FALSE
1,30,9273,686.1111111111,680.5555555556,0.7373134328,0.7343283582,0.9801478523,FALSE
1,31,9518,680.5555555556,700,0.7313432836,0.7417910448,0.9803621001,FALSE
1,32,9770,700,750,0.752238806,0.7791044776,0.9880421066,FALSE
1,33,10040,750,766.6666666667,0.8059701493,0.8149253731,0.9938123677,FALSE
1,34,10316,766.6666666667,744.4444444444,0.823880597,0.8119402985,0.9959934886,FALSE
1,35,10584,744.4444444444,838.8888888889,0.8,0.8507462687,0.9968504754,FALSE
1,36,10886,838.8888888889,1000,0.9014925373,0.9880597015,0.996524175,FALSE
1,37,11246,1000,955.5555555556,1.0746268657,1.0507462687,0.9958686323,FALSE
1,38,11590,955.5555555556,961.1111111111,1.0268656716,1.0298507463,0.9968555922,FALSE
1,39,11936,961.1111111111,977.7777777778,1.0328358209,1.0417910448,0.9955718647,FALSE
1,40,12288,977.7777777778,1008.3333333333,1.0507462687,1.0671641791,0.9983659145,FALSE
1,41,12651,1008.3333333333,975,1.0835820896,1.0656716418,0.9879261065,FALSE
1,42,13002,975,883.3333333333,1.047761194,0.9985074627,0.9772693338,FALSE
1,43,13320,883.3333333333,827.7777777778,0.9492537313,0.9194029851,0.9864440491,FALSE
1,44,13618,827.7777777778,836.1111111111,0.8895522388,0.8940298507,0.995111573,FALSE
1,45,13919,836.1111111111,861.1111111111,0.8985074627,0.9119402985,0.9945481353,FALSE
1,46,14229,861.1111111111,936.1111111111,0.9253731343,0.9656716418,0.9889593377,FALSE
1,47,14566,936.1111111111,938.8888888889,1.0059701493,1.0074626866,0.9838384583,FALSE
1,48,14904,938.8888888889,911.1111111111,1.0089552239,0.9940298507,0.9940985218,FALSE
1,49,15232,911.1111111111,916.6666666667,0.9791044776,0.9820895522,0.9959624712,FALSE
1,50,15562,916.6666666667,941.6666666667,0.9850746269,0.9985074627,0.9861366099,FALSE
1,51,15901,941.6666666667,958.3333333333,1.0119402985,1.0208955224,0.9940498736,FALSE
1,52,16246,958.3333333333,1000,1.0298507463,1.052238806,0.9950635144,FALSE
1,53,16606,1000,1091.6666666667,1.0746268657,1.123880597,0.9812504385,FALSE
1,54,16999,1091.6666666667,991.6666666667,1.1731343284,1.1194029851,0.9897970142,FALSE
1,55,17356,991.6666666667,961.1111111111,1.0656716418,1.0492537313,0.98397256,FALSE
1,56,17702,961.1111111111,902.7777777778,1.0328358209,1.0014925373,0.9960124007,FALSE
1,57,18027,902.7777777778,852.7777777778,0.9701492537,0.9432835821,0.995297156,FALSE
1,58,18334,852.7777777778,863.8888888889,0.9164179104,0.9223880597,0.9857909578,FALSE
1,59,18645,863.8888888889,888.8888888889,0.928358209,0.9417910448,0.9895440276,FALSE
1,60,18965,888.8888888889,863.8888888889,0.9552238806,0.9417910448,0.9821770742,FALSE
1,61,19276,863.8888888889,844.4444444444,0.928358209,0.9179104478,0.9874796738,FALSE
1,62,19580,844.4444444444,805.5555555556,0.9074626866,0.8865671642,0.9916294994,FALSE
1,63,19870,805.5555555556,741.6666666667,0.8656716418,0.8313432836,0.9948149654,FALSE
1,64,20137,741.6666666667,750,0.7970149254,0.8014925373,0.9841817243,FALSE
1,65,20407,750,791.6666666667,0.8059701493,0.828358209,0.9871623683,FALSE
1,66,20692,791.6666666667,825,0.8507462687,0.8686567164,0.9830930675,FALSE
1,67,20989,825,863.8888888889,0.8865671642,0.9074626866,0.969099604,FALSE
1,68,21300,863.8888888889,936.1111111111,0.928358209,0.9671641791,0.965324308,FALSE
1,69,21637,936.1111111111,1033.3333333333,1.0059701493,1.0582089552,0.956430357,FALSE
1,70,22009,1033.3333333333,988.8888888889,1.1104477612,1.0865671642,0.9877801212,FALSE
1,71,22365,988.8888888889,905.5555555556,1.0626865672,1.0179104478,0.9893850869,FALSE
1,72,22691,905.5555555556,905.5555555556,0.9731343284,0.9731343284,0.988001247,FALSE
1,73,23017,905.5555555556,966.6666666667,0.9731343284,1.0059701493,0.9860963818,FALSE
1,74,23365,966.6666666667,986.1111111111,1.0388059701,1.0492537313,0.987735756,FALSE
1,75,23720,986.1111111111,913.8888888889,1.0597014925,1.0208955224,0.9908024631,FALSE
1,76,24049,913.8888888889,872.2222222222,0.9820895522,0.9597014925,0.9935282671,FALSE
1,77,24363,872.2222222222,894.4444444444,0.9373134328,0.9492537313,0.9977682648,FALSE
1,78,24685,894.4444444444,905.5555555556,0.9611940299,0.9671641791,0.9963792024,FALSE
1,79,25011,905.5555555556,911.1111111111,0.9731343284,0.976119403,0.998019314,FALSE
1,80,25339,911.1111111111,994.4444444444,0.9791044776,1.023880597,0.9951959491,FALSE
1,81,25697,994.4444444444,1033.3333333333,1.0686567164,1.0895522388,0.9706926781,FALSE
1,82,26069,1033.3333333333,1016.6666666667,1.1104477612,1.1014925373,0.9863858977,FALSE
1,83,26435,1016.6666666667,980.5555555556,1.0925373134,1.0731343284,0.9984905332,FALSE
1,84,26788,980.5555555556,975,1.0537313433,1.0507462687,0.9960570284,FALSE
1,85,27139,975,925,1.047761194,1.0208955224,0.9975378353,FALSE
1,86,27472,925,941.6666666667,0.9940298507,1.0029850746,0.9963729037,FALSE
1,87,27811,941.6666666667,975,1.0119402985,1.0298507463,0.994363098,FALSE
1,88,28162,975,941.6666666667,1.047761194,1.0298507463,0.9948965473,FALSE
1,89,28501,941.6666666667,836.1111111111,1.0119402985,0.9552238806,0.9903205195,FALSE
1,90,28802,836.1111111111,844.4444444444,0.8985074627,0.9029850746,0.9872584199,FALSE
1,91,29106,844.4444444444,841.6666666667,0.9074626866,0.9059701493,0.9837740354,FALSE
1,92,29409,841.6666666667,844.4444444444,0.9044776119,0.9059701493,0.9933090826,FALSE
1,93,29713,844.4444444444,866.6666666667,0.9074626866,0.9194029851,0.996109444,FALSE
1,94,30025,866.6666666667,861.1111111111,0.9313432836,0.928358209,0.9864329678,FALSE
1,95,30335,861.1111111111,822.2222222222,0.9253731343,0.9044776119,0.9981681624,FALSE
1,96,30631,822.2222222222,808.3333333333,0.8835820896,0.876119403,0.9895003048,FALSE
1,97,30922,808.3333333333,747.2222222222,0.8686567164,0.8358208955,0.9912555438,FALSE
1,98,31191,747.2222222222,755.5555555556,0.8029850746,0.8074626866,0.9857641007,FALSE
1,99,31463,755.5555555556,736.1111111111,0.8119402985,0.8014925373,0.9901875645,FALSE
1,100,31728,736.1111111111,797.2222222222,0.7910447761,0.823880597,0.9713870562,FALSE
1,101,32015,797.2222222222,894.4444444444,0.8567164179,0.9089552239,0.9936944466,FALSE
1,102,32337,894.4444444444,922.2222222222,0.9611940299,0.976119403,0.9949678811,FALSE
1,103,32669,922.2222222222,552.7777777778,0.9910447761,0.7925373134,0.9849830876,FALSE
1,104,32868,552.7777777778,483.3333333333,0.5940298507,0.5567164179,0.8265308352,TRUE
1,105,33042,483.3333333333,1211.1111111111,0.5194029851,0.9104477612,0.6779084476,TRUE
1,106,33478,1211.1111111111,488.8888888889,1.3014925373,0.9134328358,0.9690421915,FALSE
1,107,33654,488.8888888889,466.6666666667,0.5253731343,0.5134328358,0.8057885658,TRUE
1,108,33822,466.6666666667,1347.2222222222,0.5014925373,0.9746268657,0.7561292228,TRUE
1,109,34307,1347.2222222222,1000,1.447761194,1.2611940299,0.9640584604,FALSE
1,110,34667,1000,530.5555555556,1.0746268657,0.8223880597,0.9914511208,FALSE
1,111,34858,530.5555555556,1177.7777777778,0.5701492537,0.9179104478,0.7891703291,TRUE
1,112,35282,1177.7777777778,519.4444444444,1.2656716418,0.9119402985,0.9895498592,FALSE
1,113,35469,519.4444444444,463.8888888889,0.5582089552,0.528358209,0.8055079208,TRUE
1,114,35636,463.8888888889,1297.2222222222,0.4985074627,0.9462686567,0.7291109782,TRUE
1,115,36103,1297.2222222222,519.4444444444,1.3940298507,0.976119403,0.9787320843,FALSE
1,116,36290,519.4444444444,1300,0.5582089552,0.9776119403,0.7411167339,TRUE
1,117,36758,1300,536.1111111111,1.3970149254,0.9865671642,0.993105176,FALSE
1,118,36951,536.1111111111,475,0.576119403,0.5432835821,0.7934996773,TRUE
1,119,37122,475,1280.5555555556,0.5104477612,0.9432835821,0.7421801945,TRUE
1,120,37583,1280.5555555556,919.4444444444,1.376119403,1.1820895522,0.9844775479,FALSE
1,121,37914,919.4444444444,497.2222222222,0.9880597015,0.7611940299,0.9977844024,FALSE
1,122,38093,497.2222222222,480.5555555556,0.5343283582,0.5253731343,0.767919896,TRUE
1,123,38266,480.5555555556,1363.8888888889,0.5164179104,0.9910447761,0.7617767379,TRUE
1,124,38757,1363.8888888889,505.5555555556,1.4656716418,1.0044776119,0.9909064084,FALSE
1,125,38939,505.5555555556,488.8888888889,0.5432835821,0.5343283582,0.7633758321,TRUE
1,126,39115,488.8888888889,1325,0.5253731343,0.9746268657,0.6301803422,TRUE
1,127,39592,1325,866.6666666667,1.423880597,1.1776119403,0.9717706409,FALSE
1,128,39904,866.6666666667,758.3333333333,0.9313432836,0.8731343284,0.9930144925,FALSE
1,129,40177,758.3333333333,213.8888888889,0.8149253731,0.5223880597,0.1559934518,TRUE
1,130,40254,213.8888888889,1283.3333333333,0.2298507463,0.8044776119,0.7417610317,TRUE
1,131,40716,1283.3333333333,883.3333333333,1.3791044776,1.1641791045,0.9963508081,FALSE
1,132,41034,883.3333333333,777.7777777778,0.9492537313,0.8925373134,0.9934206391,FALSE
1,133,41314,777.7777777778,225,0.8358208955,0.5388059701,0.1030594194,TRUE
1,134,41395,225,1230.5555555556,0.2417910448,0.7820895522,0.7531944674,TRUE
1,135,41838,1230.5555555556,463.8888888889,1.3223880597,0.9104477612,0.9985710955,FALSE
1,136,42005,463.8888888889,1211.1111111111,0.4985074627,0.9,0.8423176525,TRUE
1,137,42441,1211.1111111111,513.8888888889,1.3014925373,0.9268656716,0.9944913193,FALSE
1,138,42626,513.8888888889,480.5555555556,0.552238806,0.5343283582,0.7940824024,TRUE
1,139,42799,480.5555555556,1325,0.5164179104,0.9701492537,0.6965565391,TRUE
1,140,43276,1325,511.1111111111,1.423880597,0.9865671642,0.9903204394,FALSE
1,141,43460,511.1111111111,1241.6666666667,0.5492537313,0.9417910448,0.7381196114,TRUE
1,142,43907,1241.6666666667,744.4444444444,1.3343283582,1.0671641791,0.993050491,FALSE
1,143,44175,744.4444444444,925,0.8,0.8970149254,0.3456447788,TRUE
1,144,44508,925,513.8888888889,0.9940298507,0.7731343284,0.9957101051,FALSE
1,145,44693,513.8888888889,486.1111111111,0.552238806,0.5373134328,0.8156450952,TRUE
1,146,44868,486.1111111111,1344.4444444444,0.5223880597,0.9835820896,0.7832028329,TRUE
1,147,45352,1344.4444444444,761.1111111111,1.4447761194,1.1313432836,0.9861324507,FALSE
1,148,45626,761.1111111111,975,0.8179104478,0.9328358209,0.0026785942,TRUE
1,149,45977,975,750,1.047761194,0.9268656716,0.9916509368,FALSE
1,150,46247,750,205.5555555556,0.8059701493,0.5134328358,0.236418859,TRUE
1,151,46321,205.5555555556,1272.2222222222,0.2208955224,0.7940298507,0.7073792954,TRUE
1,152,46779,1272.2222222222,500,1.3671641791,0.952238806,0.9971680933,FALSE
1,153,46959,500,1263.8888888889,0.5373134328,0.947761194,0.8062032265,TRUE
1,154,47414,1263.8888888889,536.1111111111,1.3582089552,0.9671641791,0.9957415859,FALSE
1,155,47607,536.1111111111,483.3333333333,0.576119403,0.547761194,0.7204184446,TRUE
1,156,47781,483.3333333333,1238.8888888889,0.5194029851,0.9253731343,0.8313456592,TRUE
1,157,48227,1238.8888888889,488.8888888889,1.3313432836,0.928358209,0.9939662839,FALSE
1,158,48403,488.8888888889,455.5555555556,0.5253731343,0.5074626866,0.7567984804,TRUE
1,159,48567,455.5555555556,1233.3333333333,0.4895522388,0.9074626866,0.7466539056,TRUE
1,160,49011,1233.3333333333,752.7777777778,1.3253731343,1.0671641791,0.9903507015,FALSE
1,161,49282,752.7777777778,255.5555555556,0.8089552239,0.5417910448,0.0710345075,TRUE
1,162,49374,255.5555555556,1286.1111111111,0.2746268657,0.828358209,0.7812318446,TRUE
1,163,49837,1286.1111111111,519.4444444444,1.3820895522,0.9701492537,0.994440118,FALSE
1,164,50024,519.4444444444,1116.6666666667,0.5582089552,0.8791044776,0.8449119726,TRUE
1,165,50426,1116.6666666667,747.2222222222,1.2,1.0014925373,0.9936708702,FALSE
1,166,50695,747.2222222222,219.4444444444,0.8029850746,0.5194029851,0.2961567523,TRUE
1,167,50774,219.4444444444,1219.4444444444,0.2358208955,0.7731343284,0.7720204331,TRUE
1,168,51213,1219.4444444444,522.2222222222,1.3104477612,0.9358208955,0.9969942938,FALSE
1,169,51401,522.2222222222,1250,0.5611940299,0.952238806,0.7185280696,TRUE
1,170,51851,1250,772.2222222222,1.3432835821,1.0865671642,0.9969573282,FALSE
1,171,52129,772.2222222222,233.3333333333,0.8298507463,0.5402985075,0.1830898568,TRUE
1,172,52213,233.3333333333,1250,0.2507462687,0.7970149254,0.7601185474,TRUE
1,173,52663,1250,733.3333333333,1.3432835821,1.0656716418,0.9906266872,FALSE
1,174,52927,733.3333333333,972.2222222222,0.7880597015,0.9164179104,0.4389518766,TRUE
1,175,53277,972.2222222222,838.8888888889,1.0447761194,0.9731343284,0.9944503666,FALSE
1,176,53579,838.8888888889,822.2222222222,0.9014925373,0.8925373134,0.9978353506,FALSE
1,177,53875,822.2222222222,808.3333333333,0.8835820896,0.876119403,0.9944992975,FALSE
1,178,54166,808.3333333333,244.4444444444,0.8686567164,0.5656716418,0.0724036052,FALSE
1,179,54254,244.4444444444,1286.1111111111,0.2626865672,0.8223880597,0.8030439165,TRUE
1,180,54717,1286.1111111111,477.7777777778,1.3820895522,0.947761194,0.9955254709,FALSE
1,181,54889,477.7777777778,483.3333333333,0.5134328358,0.5164179104,0.8831546852,TRUE
1,182,55063,483.3333333333,1380.5555555556,0.5194029851,1.0014925373,0.7189981152,TRUE
1,183,55560,1380.5555555556,522.2222222222,1.4835820896,1.0223880597,0.9930769298,FALSE
1,184,55748,522.2222222222,1333.3333333333,0.5611940299,0.9970149254,0.8393994834,TRUE
1,185,56228,1333.3333333333,891.6666666667,1.4328358209,1.1955223881,0.9910523444,FALSE
1,186,56549,891.6666666667,813.8888888889,0.9582089552,0.9164179104,0.9949108172,FALSE
1,187,56842,813.8888888889,927.7777777778,0.8746268657,0.9358208955,0.9523888914,FALSE
1,188,57176,927.7777777778,888.8888888889,0.9970149254,0.976119403,0.9778927135,FALSE
1,189,57496,888.8888888889,780.5555555556,0.9552238806,0.8970149254,0.9958730495,FALSE
1,190,57777,780.5555555556,266.6666666667,0.8388059701,0.5626865672,0.0003298421,TRUE
1,191,57873,266.6666666667,1313.8888888889,0.2865671642,0.8492537313,0.738083459,TRUE
1,192,58346,1313.8888888889,525,1.4119402985,0.9880597015,0.9879784036,FALSE
1,193,58535,525,1272.2222222222,0.5641791045,0.9656716418,0.8602705644,TRUE
1,194,58993,1272.2222222222,491.6666666667,1.3671641791,0.947761194,0.9936937277,FALSE
1,195,59170,491.6666666667,447.2222222222,0.528358209,0.5044776119,0.793160733,TRUE
1,196,59331,447.2222222222,1219.4444444444,0.4805970149,0.8955223881,0.7655640667,TRUE
1,197,59770,1219.4444444444,513.8888888889,1.3104477612,0.9313432836,0.9740953289,FALSE
1,198,59955,513.8888888889,1330.5555555556,0.552238806,0.9910447761,0.8152668774,TRUE
1,199,60434,1330.5555555556,566.6666666667,1.4298507463,1.0194029851,0.9820649141,FALSE
1,200,60638,566.6666666667,1236.1111111111,0.6089552239,0.9686567164,0.7391818975,TRUE
1,201,61083,1236.1111111111,538.8888888889,1.328358209,0.9537313433,0.9788762874,FALSE
1,202,61277,538.8888888889,1261.1111111111,0.5791044776,0.9671641791,0.7489333127,TRUE
1,203,61731,1261.1111111111,1025,1.3552238806,1.228358209,0.9944568637,FALSE
1,204,62100,1025,1080.5555555556,1.1014925373,1.1313432836,0.9968252868,FALSE
1,205,62489,1080.5555555556,930.5555555556,1.1611940299,1.0805970149,0.9836826459,FALSE
1,206,62824,930.5555555556,847.2222222222,1,0.9552238806,0.9921085873,FALSE
1,207,63129,847.2222222222,1030.5555555556,0.9104477612,1.0089552239,0.9800165783,FALSE
1,208,63500,1030.5555555556,533.3333333333,1.1074626866,0.8402985075,0.9872911386,FALSE
1,209,63692,533.3333333333,475,0.5731343284,0.5417910448,0.8201053191,TRUE
1,210,63863,475,730.5555555556,0.5104477612,0.647761194,0.7640401184,TRUE
1,211,64126,730.5555555556,1230.5555555556,0.7850746269,1.0537313433,0.1612421391,TRUE
1,212,64569,1230.5555555556,550,1.3223880597,0.9567164179,0.9792700918,FALSE
1,213,64767,550,1447.2222222222,0.5910447761,1.0731343284,0.8322981222,TRUE
1,214,65288,1447.2222222222,1158.3333333333,1.5552238806,1.4,0.9928323752,FALSE
1,215,65705,1158.3333333333,1111.1111111111,1.2447761194,1.2194029851,0.9636775097,FALSE
1,216,66105,1111.1111111111,1061.1111111111,1.1940298507,1.1671641791,0.9839221327,FALSE
1,217,66487,1061.1111111111,1111.1111111111,1.1402985075,1.1671641791,0.9908110317,FALSE
1,218,66887,1111.1111111111,1155.5555555556,1.1940298507,1.2179104478,0.9940881304,FALSE
1,219,67303,1155.5555555556,1111.1111111111,1.2417910448,1.2179104478,0.9937662797,FALSE
1,220,67703,1111.1111111111,1091.6666666667,1.1940298507,1.1835820896,0.9968847893,FALSE
1,221,68096,1091.6666666667,1025,1.1731343284,1.1373134328,0.995817888,FALSE
1,222,68465,1025,1127.7777777778,1.1014925373,1.1567164179,0.9977362979,FALSE
1,223,68871,1127.7777777778,1113.8888888889,1.2119402985,1.2044776119,0.9944670368,FALSE
1,224,69272,1113.8888888889,1013.8888888889,1.1970149254,1.1432835821,0.9739486577,FALSE
1,225,69637,1013.8888888889,913.8888888889,1.0895522388,1.0358208955,0.9939953614,FALSE
1,226,69966,913.8888888889,877.7777777778,0.9820895522,0.9626865672,0.9958020821,FALSE
1,227,70282,877.7777777778,938.8888888889,0.9432835821,0.976119403,0.9982010502,FALSE
1,228,70620,938.8888888889,1055.5555555556,1.0089552239,1.071641791,0.995562067,FALSE
1,229,71000,1055.5555555556,1136.1111111111,1.1343283582,1.1776119403,0.9907914225,FALSE
1,230,71409,1136.1111111111,1133.3333333333,1.2208955224,1.2194029851,0.980432723,FALSE
1,231,71817,1133.3333333333,1047.2222222222,1.2179104478,1.171641791,0.9892037391,FALSE
1,232,72194,1047.2222222222,1019.4444444444,1.1253731343,1.1104477612,0.9950300453,FALSE
1,233,72561,1019.4444444444,1072.2222222222,1.0955223881,1.123880597,0.9810258244,FALSE
1,234,72947,1072.2222222222,1086.1111111111,1.152238806,1.1597014925,0.9829598443,FALSE
1,235,73338,1086.1111111111,1091.6666666667,1.1671641791,1.1701492537,0.9851857145,FALSE
1,236,73731,1091.6666666667,991.6666666667,1.1731343284,1.1194029851,0.9962662369,FALSE
1,237,74088,991.6666666667,891.6666666667,1.0656716418,1.0119402985,0.9919881467,FALSE
1,238,74409,891.6666666667,930.5555555556,0.9582089552,0.9791044776,0.9896563944,FALSE
1,239,74744,930.5555555556,1100,1,1.0910447761,0.9827082978,FALSE
1,240,75140,1100,1044.4444444444,1.1820895522,1.152238806,0.9934685132,FALSE
1,241,75516,1044.4444444444,1091.6666666667,1.1223880597,1.147761194,0.9911242939,FALSE
1,242,75909,1091.6666666667,1055.5555555556,1.1731343284,1.1537313433,0.9850493767,FALSE
1,243,76289,1055.5555555556,1063.8888888889,1.1343283582,1.1388059701,0.9801476783,FALSE
1,244,76672,1063.8888888889,980.5555555556,1.1432835821,1.0985074627,0.9777391607,FALSE
1,245,77025,980.5555555556,1047.2222222222,1.0537313433,1.0895522388,0.9938997105,FALSE
1,246,77402,1047.2222222222,1027.7777777778,1.1253731343,1.1149253731,0.9884552181,FALSE
1,247,77772,1027.7777777778,1072.2222222222,1.1044776119,1.128358209,0.9914187318,FALSE
1,248,78158,1072.2222222222,955.5555555556,1.152238806,1.0895522388,0.9687222412,FALSE
1,249,78502,955.5555555556,988.8888888889,1.0268656716,1.0447761194,0.9723603045,FALSE
1,250,78858,988.8888888889,1122.2222222222,1.0626865672,1.1343283582,0.9910099264,FALSE
1,251,79262,1122.2222222222,1080.5555555556,1.2059701493,1.1835820896,0.9945145024,FALSE
1,252,79651,1080.5555555556,1063.8888888889,1.1611940299,1.152238806,0.9928298825,FALSE
1,253,80034,1063.8888888889,947.2222222222,1.1432835821,1.0805970149,0.9923594776,FALSE
1,254,80375,947.2222222222,866.6666666667,1.0179104478,0.9746268657,0.9952273598,FALSE
1,255,80687,866.6666666667,927.7777777778,0.9313432836,0.9641791045,0.992769594,FALSE
1,256,81021,927.7777777778,1030.5555555556,0.9970149254,1.052238806,0.9760958729,FALSE
1,257,81392,1030.5555555556,1150,1.1074626866,1.171641791,0.981758764,FALSE
1,258,81806,1150,1136.1111111111,1.2358208955,1.228358209,0.9914034126,FALSE
1,259,82215,1136.1111111111,1033.3333333333,1.2208955224,1.1656716418,0.9892198874,FALSE
1,260,82587,1033.3333333333,997.2222222222,1.1104477612,1.0910447761,0.9865106689,FALSE
1,261,82946,997.2222222222,1005.5555555556,1.071641791,1.076119403,0.9738017847,FALSE
1,262,83308,1005.5555555556,991.6666666667,1.0805970149,1.0731343284,0.9907357337,FALSE
1,263,83665,991.6666666667,1030.5555555556,1.0656716418,1.0865671642,0.9922501757,FALSE
1,264,84036,1030.5555555556,1113.8888888889,1.1074626866,1.152238806,0.9950142692,FALSE
1,265,84437,1113.8888888889,1113.8888888889,1.1970149254,1.1970149254,0.9875233016,FALSE
1,266,84838,1113.8888888889,1044.4444444444,1.1970149254,1.1597014925,0.9835039195,FALSE
1,267,85214,1044.4444444444,1075,1.1223880597,1.1388059701,0.9919102743,FALSE
1,268,85601,1075,1144.4444444444,1.1552238806,1.1925373134,0.9952029208,FALSE
1,269,86013,1144.4444444444,1025,1.2298507463,1.1656716418,0.9553912688,FALSE
1,270,86382,1025,1041.6666666667,1.1014925373,1.1104477612,0.9907528763,FALSE
1,271,86757,1041.6666666667,1047.2222222222,1.1194029851,1.1223880597,0.9846968278,FALSE
1,272,87134,1047.2222222222,1038.8888888889,1.1253731343,1.1208955224,0.9663479156,FALSE
1,273,87508,1038.8888888889,1061.1111111111,1.1164179104,1.128358209,0.9900535303,FALSE
1,274,87890,1061.1111111111,1138.8888888889,1.1402985075,1.1820895522,0.9945275024,FALSE
1,275,88300,1138.8888888889,1144.4444444444,1.223880597,1.2268656716,0.9873527689,FALSE
1,276,88712,1144.4444444444,1072.2222222222,1.2298507463,1.1910447761,0.9941010309,FALSE
1,277,89098,1072.2222222222,927.7777777778,1.152238806,1.0746268657,0.9861079754,FALSE
1,278,89432,927.7777777778,863.8888888889,0.9970149254,0.9626865672,0.9879782666,FALSE
1,279,89743,863.8888888889,875,0.928358209,0.9343283582,0.9888525701,FALSE
1,280,90058,875,947.2222222222,0.9402985075,0.9791044776,0.9882063035,FALSE
1,281,90399,947.2222222222,1052.7777777778,1.0179104478,1.0746268657,0.9847384261,FALSE
1,282,90778,1052.7777777778,991.6666666667,1.1313432836,1.0985074627,0.9915913647,FALSE
1,283,91135,991.6666666667,891.6666666667,1.0656716418,1.0119402985,0.9809614402,FALSE
1,284,91456,891.6666666667,830.5555555556,0.9582089552,0.9253731343,0.9910757334,FALSE
1,285,91755,830.5555555556,811.1111111111,0.8925373134,0.8820895522,0.9792358103,FALSE
1,286,92047,811.1111111111,830.5555555556,0.871641791,0.8820895522,0.9908566837,FALSE
1,287,92346,830.5555555556,872.2222222222,0.8925373134,0.9149253731,0.9955988011,FALSE
1,288,92660,872.2222222222,988.8888888889,0.9373134328,1,0.9902964467,FALSE
1,289,93016,988.8888888889,1052.7777777778,1.0626865672,1.0970149254,0.9941326493,FALSE
1,290,93395,1052.7777777778,886.1111111111,1.1313432836,1.0417910448,0.9745937008,FALSE
1,291,93714,886.1111111111,891.6666666667,0.952238806,0.9552238806,0.9938088912,FALSE
1,292,94035,891.6666666667,950,0.9582089552,0.9895522388,0.9936745367,FALSE
1,293,94377,950,947.2222222222,1.0208955224,1.0194029851,0.9759254807,FALSE
1,294,94718,947.2222222222,902.7777777778,1.0179104478,0.9940298507,0.9832244658,FALSE
1,295,95043,902.7777777778,941.6666666667,0.9701492537,0.9910447761,0.9861460453,FALSE
1,296,95382,941.6666666667,933.3333333333,1.0119402985,1.0074626866,0.9836102092,FALSE
1,297,95718,933.3333333333,522.2222222222,1.0029850746,0.7820895522,0.9797318236,FALSE
1,298,95906,522.2222222222,1194.4444444444,0.5611940299,0.9223880597,0.7879406371,TRUE
1,299,96336,1194.4444444444,911.1111111111,1.2835820896,1.1313432836,0.9874215668,FALSE
1,300,96664,911.1111111111,961.1111111111,0.9791044776,1.0059701493,0.9923183056,FALSE
1,301,97010,961.1111111111,894.4444444444,1.0328358209,0.9970149254,0.9935339555,FALSE
1,302,97332,894.4444444444,800,0.9611940299,0.9104477612,0.9968289174,FALSE
