"frequency","coherence"
57.6171875,0.0007700582
57.86132812,0.0051193609
58.10546875,0.0015455996
58.34960938,0.0082981442
58.59375,7.48869e-05
58.83789062,0.0050464908
59.08203125,0.0090077949
59.32617188,0.0335125583
59.5703125,0.0015878347
59.81445312,0.0004168288
60.05859375,0.0018740503
60.30273438,0.0194922624
60.546875,0.0213036528
60.79101562,0.0168206211
61.03515625,0.0032103016
61.27929688,0.0021457864
61.5234375,0.0001809616
61.76757812,0.0052943182
62.01171875,0.0058095358
62.25585938,0.0188210386
62.5,0.003399808
