"frequency_hz","psd_op","psd_scipy_recon","psd_mne"
10.5,1109.7448,1109.7448,2218.5621
10.6,1009.4629,1009.4629,2022.8827
10.7,850.494,850.494,1701.4294
10.8,749.94944,749.94944,1481.5836
10.9,550.89321,550.89321,1101.483
11,597.60009,597.60009,1187.2092
11.1,193.92725,193.92725,381.59715
11.2,100.03986,100.03986,200.12067
11.3,138.78862,138.78862,275.3127
11.4,153.48163,153.48163,303.39817
11.5,163.81353,163.81353,321.97953
11.6,194.02245,194.02245,380.92478
11.7,101.58667,101.58667,204.07913
11.8,92.022435,92.022435,185.09882
11.9,92.310232,92.310232,185.48066
12,47.801883,47.801883,96.080815
12.1,48.771043,48.771043,97.980014
12.2,49.886818,49.886818,99.71713
12.3,30.085927,30.085927,58.886265
12.4,16.025402,16.025402,32.313858
12.5,25.866399,25.866399,51.47224
12.6,25.257043,25.257043,50.456839
12.7,24.61826,24.61826,49.664725
12.8,28.802593,28.802593,57.264999
12.9,29.964715,29.964715,60.036777
13,27.570338,27.570338,55.353121
13.1,20.820202,20.820202,41.884321
13.2,15.856859,15.856859,31.839411
13.3,15.190553,15.190553,30.51511
13.4,15.243118,15.243118,30.238639
13.5,9.634512,9.634512,19.354392
13.6,11.310448,11.310448,22.019196
13.7,10.291413,10.291413,20.323639
13.8,11.859889,11.859889,23.171735
13.9,16.177966,16.177966,32.200056
14,19.993711,19.993711,40.24214
14.1,19.450246,19.450246,39.224408
14.2,18.754939,18.754939,37.783225
14.3,17.616944,17.616944,35.525611
14.4,22.490733,22.490733,44.911463
14.5,24.610668,24.610668,49.647158
14.6,25.80787,25.80787,51.130008
14.7,12.500019,12.500019,24.949394
14.8,12.651711,12.651711,25.373106
14.9,12.235752,12.235752,24.667848
15,13.344604,13.344604,26.851785
15.1,14.780909,14.780909,29.577921
15.2,14.33404,14.33404,28.510222
15.3,14.608789,14.608789,28.949833
15.4,23.332064,23.332064,46.402392
15.5,23.025768,23.025768,45.981029
15.6,23.484541,23.484541,46.739294
15.7,27.444456,27.444456,54.278497
15.8,40.844475,40.844475,82.171846
15.9,39.91979,39.91979,80.641597
16,46.385999,46.385999,93.096171
16.1,51.855311,51.855311,104.70853
16.2,49.913521,49.913521,100.41988
16.3,40.721469,40.721469,82.153252
16.4,46.293349,46.293349,93.468106
16.5,50.053981,50.053981,100.6704
16.6,56.478872,56.478872,111.34654
16.7,69.947025,69.947025,138.93586
16.8,54.879419,54.879419,110.65836
16.9,77.918197,77.918197,155.68715
17,80.877671,80.877671,162.37082
17.1,87.944508,87.944508,177.58216
17.2,94.235616,94.235616,189.79437
17.3,93.137046,93.137046,187.75796
17.4,89.085145,89.085145,178.56382
17.5,88.861126,88.861126,178.1889
17.6,77.528785,77.528785,155.30001
17.7,72.373581,72.373581,145.49728
17.8,46.694797,46.694797,93.939974
17.9,46.967046,46.967046,93.203674
18,53.350472,53.350472,107.1304
18.1,49.088869,49.088869,97.863992
18.2,54.378142,54.378142,107.87023
18.3,48.787368,48.787368,97.948098
18.4,57.642908,57.642908,115.5284
18.5,63.205328,63.205328,127.53387
18.6,62.719485,62.719485,126.41683
18.7,54.62052,54.62052,109.42244
18.8,48.508294,48.508294,97.628594
18.9,45.746848,45.746848,91.630448
19,39.154149,39.154149,78.833693
19.1,30.387213,30.387213,60.455101
19.2,17.045337,17.045337,33.799299
19.3,29.13245,29.13245,58.00722
19.4,23.803246,23.803246,48.072545
19.5,27.574358,27.574358,55.473959
19.6,31.680919,31.680919,62.888684
19.7,27.411816,27.411816,54.777407
19.8,28.977452,28.977452,57.79321
19.9,25.537895,25.537895,51.002333
20,14.717349,14.717349,29.538768
20.1,15.366064,15.366064,30.211691
20.2,7.862615,7.862615,15.680899
20.3,13.741222,13.741222,27.073661
20.4,13.882473,13.882473,27.418369
20.5,10.526305,10.526305,21.122446
20.6,24.499472,24.499472,48.950686
20.7,23.811571,23.811571,47.968253
20.8,34.318365,34.318365,68.983274
20.9,34.258512,34.258512,68.944739
21,33.49532,33.49532,67.121711
21.1,34.027527,34.027527,68.566203
21.2,32.716378,32.716378,66.019878
21.3,32.479605,32.479605,63.685302
21.4,20.728234,20.728234,41.806277
21.5,17.709585,17.709585,35.583919
21.6,17.863933,17.863933,35.596771
21.7,17.083046,17.083046,34.19483
21.8,14.495225,14.495225,28.892516
21.9,10.236621,10.236621,20.654857
22,11.535938,11.535938,22.968896
22.1,10.338488,10.338488,20.656774
22.2,5.7130618,5.7130618,11.439809
22.3,7.8275091,7.8275091,15.516591
22.4,7.7267067,7.7267067,15.307057
22.5,6.7232871,6.7232871,13.440133
22.6,7.1476707,7.1476707,14.129087
22.7,6.2810731,6.2810731,12.473637
22.8,7.7921896,7.7921896,15.523993
22.9,5.9395707,5.9395707,11.902354
23,4.5210356,4.5210356,9.0603577
23.1,7.7436906,7.7436906,15.491438
23.2,8.3799452,8.3799452,16.720381
23.3,8.6906422,8.6906422,17.3278
23.4,9.0310448,9.0310448,17.939205
23.5,6.8154066,6.8154066,13.576819
23.6,6.9309683,6.9309683,13.883181
23.7,6.2359149,6.2359149,12.503945
23.8,5.3255947,5.3255947,10.482835
23.9,4.5951817,4.5951817,9.200442
24,5.4600462,5.4600462,10.776093
24.1,5.1138244,5.1138244,10.263621
24.2,5.0410632,5.0410632,10.074416
24.3,4.4139257,4.4139257,8.8766661
24.4,4.4566734,4.4566734,8.8786021
24.5,3.206183,3.206183,6.3408285
24.6,2.0043966,2.0043966,4.0379532
24.7,2.0708911,2.0708911,4.1196762
24.8,1.8459207,1.8459207,3.664823
24.9,2.3671349,2.3671349,4.7842292
25,3.6870077,3.6870077,7.3809531
25.1,6.7623125,6.7623125,13.253202
25.2,6.7999605,6.7999605,13.582355
25.3,7.804901,7.804901,15.664621
25.4,7.9773484,7.9773484,16.035848
25.5,9.8992721,9.8992721,19.698354
25.6,7.3869695,7.3869695,14.903154
25.7,6.6749952,6.6749952,13.463318
25.8,6.931951,6.931951,13.86712
25.9,5.6038603,5.6038603,11.203288
26,4.2124819,4.2124819,8.5028579
26.1,4.7460704,4.7460704,9.4483952
26.2,2.9747357,2.9747357,5.9923547
26.3,4.7205249,4.7205249,9.2500205
26.4,4.6524156,4.6524156,9.2441761
26.5,4.7823559,4.7823559,9.5723313
26.6,5.4071614,5.4071614,10.669428
26.7,4.1497866,4.1497866,8.2371224
26.8,3.578829,3.578829,7.2198475
26.9,3.9422989,3.9422989,7.882091
27,2.2573473,2.2573473,4.5599459
27.1,4.6048448,4.6048448,9.1794356
27.2,3.633642,3.633642,7.2682011
27.3,3.750902,3.750902,7.41105
27.4,4.4497575,4.4497575,8.7165456
27.5,4.1025795,4.1025795,8.0857599
27.6,4.200481,4.200481,8.2933415
27.7,3.4473334,3.4473334,6.9310845
27.8,2.5942321,2.5942321,5.2033549
27.9,2.7773445,2.7773445,5.5873124
28,4.0866221,4.0866221,8.130482
28.1,3.9619469,3.9619469,7.8834156
28.2,3.4894557,3.4894557,7.0238104
28.3,3.2154526,3.2154526,6.4781881
28.4,3.9504783,3.9504783,7.9428403
28.5,3.699325,3.699325,7.4563135
28.6,5.0568015,5.0568015,10.034976
28.7,3.7229145,3.7229145,7.4659049
28.8,3.5624575,3.5624575,7.1655977
28.9,3.7156031,3.7156031,7.4602122
29,3.7194918,3.7194918,7.4957867
29.1,3.655046,3.655046,7.3118078
29.2,3.462279,3.462279,6.9580371
29.3,2.5379617,2.5379617,4.9082398
29.4,2.3559955,2.3559955,4.575834
29.5,2.1370779,2.1370779,4.1687855
29.6,2.7481153,2.7481153,5.3526758
29.7,2.5124923,2.5124923,4.9871382
29.8,2.3131433,2.3131433,4.6362644
29.9,2.6185285,2.6185285,5.2338829
30,3.6477537,3.6477537,7.3636528
30.1,3.4832475,3.4832475,6.9605443
30.2,5.4957654,5.4957654,10.880116
30.3,5.9201157,5.9201157,11.768004
30.4,6.3849525,6.3849525,12.683609
30.5,6.9357798,6.9357798,13.850957
30.6,6.42185,6.42185,12.803996
30.7,5.2081506,5.2081506,10.435443
30.8,5.3469361,5.3469361,10.699757
30.9,4.2007794,4.2007794,8.3091716
31,3.4548762,3.4548762,6.8735038
31.1,2.551038,2.551038,5.1163377
31.2,2.0148195,2.0148195,4.0423543
31.3,2.1550071,2.1550071,4.3449635
31.4,1.9746469,1.9746469,3.8940277
31.5,2.4123247,2.4123247,4.8087419
31.6,2.450886,2.450886,4.8960599
31.7,2.9607996,2.9607996,5.9239929
31.8,2.999294,2.999294,6.0094035
31.9,2.9287044,2.9287044,5.894955
32,2.8833878,2.8833878,5.8179495
32.1,2.9063339,2.9063339,5.8688473
32.2,2.8076595,2.8076595,5.6378086
32.3,2.262386,2.262386,4.5232136
32.4,2.0659533,2.0659533,4.083203
32.5,1.781907,1.781907,3.5852762
32.6,1.6766677,1.6766677,3.3641919
32.7,1.3298187,1.3298187,2.6823382
32.8,1.4748186,1.4748186,2.9262383
32.9,1.4974028,1.4974028,2.9708022
33,1.3810999,1.3810999,2.766287
33.1,1.486987,1.486987,2.9861562
33.2,1.7947014,1.7947014,3.5447948
33.3,2.6741613,2.6741613,5.3704996
33.4,2.6050346,2.6050346,5.2512595
33.5,2.6240048,2.6240048,5.2975867
33.6,2.398044,2.398044,4.8272564
33.7,2.4673361,2.4673361,4.9291611
33.8,2.1351251,2.1351251,4.2732797
33.9,2.2478821,2.2478821,4.5109553
34,1.4764981,1.4764981,2.8642005
34.1,1.152833,1.152833,2.317133
34.2,1.3966267,1.3966267,2.76907
34.3,1.5422731,1.5422731,3.0949496
34.4,1.6160244,1.6160244,3.2349086
34.5,1.6370565,1.6370565,3.2950809
34.6,1.5883769,1.5883769,3.1529182
34.7,1.4859698,1.4859698,2.9999696
34.8,1.7992543,1.7992543,3.5957699
34.9,1.6855069,1.6855069,3.3767453
35,1.8775262,1.8775262,3.7040003
35.1,1.7735613,1.7735613,3.5680054
35.2,1.8327676,1.8327676,3.690044
35.3,2.1817235,2.1817235,4.3956519
35.4,2.3551401,2.3551401,4.7409754
35.5,2.008541,2.008541,4.0411124
35.6,2.1369867,2.1369867,4.2742875
35.7,2.4678164,2.4678164,4.9467931
35.8,2.2368344,2.2368344,4.4787556
35.9,2.171225,2.171225,4.3647359
36,2.1067946,2.1067946,4.1867169
36.1,1.647089,1.647089,3.3128276
36.2,1.7948814,1.7948814,3.5929045
36.3,1.671087,1.671087,3.3503279
36.4,1.1460075,1.1460075,2.2878004
36.5,1.0223334,1.0223334,2.0566544
36.6,0.99724382,0.99724382,1.9888226
36.7,0.96463706,0.96463706,1.93424
36.8,0.86349351,0.86349351,1.7209581
36.9,0.94692689,0.94692689,1.8901354
37,0.84009555,0.84009555,1.6920744
37.1,0.91691605,0.91691605,1.8427745
37.2,1.233356,1.233356,2.4526866
37.3,1.2259456,1.2259456,2.4696352
37.4,1.4316503,1.4316503,2.8521837
37.5,1.1839078,1.1839078,2.371688
37.6,0.9997244,0.9997244,2.0132731
37.7,0.96350623,0.96350623,1.9454895
37.8,0.88003126,0.88003126,1.7740643
37.9,0.81904714,0.81904714,1.6418539
38,0.57406982,0.57406982,1.1525779
38.1,0.5656085,0.5656085,1.1324709
38.2,0.56131623,0.56131623,1.1036267
38.3,0.55620273,0.55620273,1.1204245
38.4,0.54583557,0.54583557,1.0860452
38.5,0.45820084,0.45820084,0.92464496
38.6,0.52349859,0.52349859,1.0501827
38.7,0.59060464,0.59060464,1.1916918
38.8,0.58550792,0.58550792,1.1784993
38.9,0.72270727,0.72270727,1.4436098
39,0.72781894,0.72781894,1.4470233
39.1,0.74997744,0.74997744,1.5010908
39.2,0.76249041,0.76249041,1.5141541
39.3,0.70537409,0.70537409,1.4016171
39.4,0.45769499,0.45769499,0.92305238
39.5,0.4345203,0.4345203,0.86899823
39.6,0.48173827,0.48173827,0.96498235
39.7,0.61835892,0.61835892,1.239349
39.8,0.62284957,0.62284957,1.2409013
39.9,0.67284123,0.67284123,1.3414583
40,0.82682314,0.82682314,1.6567884
40.1,0.81337231,0.81337231,1.640187
40.2,0.87920756,0.87920756,1.7698668
40.3,0.91834049,0.91834049,1.8420141
40.4,0.90736781,0.90736781,1.7879092
40.5,0.76921041,0.76921041,1.5389255
40.6,0.61956559,0.61956559,1.2473816
40.7,0.54494371,0.54494371,1.087981
40.8,0.52334889,0.52334889,1.0539243
40.9,0.51317311,0.51317311,1.0259337
41,0.36735835,0.36735835,0.73940899
41.1,0.43540993,0.43540993,0.87295521
41.2,0.42122965,0.42122965,0.84891279
41.3,0.40933266,0.40933266,0.82633981
41.4,0.40414262,0.40414262,0.81473834
41.5,0.31281193,0.31281193,0.62598016
41.6,0.38625163,0.38625163,0.76432303
41.7,0.31214754,0.31214754,0.62392704
41.8,0.23754011,0.23754011,0.4765602
41.9,0.20711137,0.20711137,0.41261669
42,0.2840707,0.2840707,0.55326147
42.1,0.2510142,0.2510142,0.50239528
42.2,0.20047864,0.20047864,0.40302254
42.3,0.16257548,0.16257548,0.32528278
42.4,0.16822912,0.16822912,0.33749145
42.5,0.22134717,0.22134717,0.44427078
42.6,0.24970982,0.24970982,0.5041402
42.7,0.28495836,0.28495836,0.56379202
42.8,0.26076981,0.26076981,0.52126091
42.9,0.25683775,0.25683775,0.51846867
43,0.32764813,0.32764813,0.65433031
43.1,0.41522379,0.41522379,0.83715274
43.2,0.42650012,0.42650012,0.85515329
43.3,0.53744833,0.53744833,1.0656147
43.4,0.59451646,0.59451646,1.1947691
43.5,0.56344897,0.56344897,1.1378107
43.6,0.6168933,0.6168933,1.2395584
43.7,0.60445984,0.60445984,1.2174542
43.8,0.49983425,0.49983425,1.0009871
43.9,0.55657357,0.55657357,1.1228367
44,0.4773625,0.4773625,0.95971992
44.1,0.47532183,0.47532183,0.95329644
44.2,0.37336642,0.37336642,0.7536305
44.3,0.40546398,0.40546398,0.80782783
44.4,0.38004359,0.38004359,0.7664919
44.5,0.41892436,0.41892436,0.83943786
44.6,0.53700415,0.53700415,1.0660868
44.7,0.46043263,0.46043263,0.9297613
44.8,0.43545782,0.43545782,0.8758774
44.9,0.34766591,0.34766591,0.70270955
45,0.38049758,0.38049758,0.76287847
45.1,0.33551491,0.33551491,0.67578699
45.2,0.31498166,0.31498166,0.63414195
45.3,0.2932745,0.2932745,0.58131564
45.4,0.18622479,0.18622479,0.37519123
45.5,0.22443108,0.22443108,0.45084543
45.6,0.22281259,0.22281259,0.44393044
45.7,0.22647631,0.22647631,0.44455034
45.8,0.20127841,0.20127841,0.4041446
45.9,0.24608772,0.24608772,0.48538389
46,0.1985445,0.1985445,0.39405041
46.1,0.27049082,0.27049082,0.53721842
46.2,0.24790777,0.24790777,0.49563289
46.3,0.25607816,0.25607816,0.5147421
46.4,0.26933218,0.26933218,0.5437359
46.5,0.29895932,0.29895932,0.59758555
46.6,0.21991275,0.21991275,0.44130934
46.7,0.25318059,0.25318059,0.51117973
46.8,0.22701856,0.22701856,0.45125041
46.9,0.17890154,0.17890154,0.36097553
47,0.19701174,0.19701174,0.39221529
47.1,0.16562953,0.16562953,0.33341877
47.2,0.16079008,0.16079008,0.32100358
47.3,0.15829458,0.15829458,0.31648983
47.4,0.25525791,0.25525791,0.50256353
47.5,0.22882355,0.22882355,0.46084264
47.6,0.21805221,0.21805221,0.4374106
47.7,0.22243573,0.22243573,0.44306214
47.8,0.23857895,0.23857895,0.47184164
47.9,0.23524496,0.23524496,0.47250983
48,0.23455025,0.23455025,0.46918667
48.1,0.30015357,0.30015357,0.59568694
48.2,0.23029618,0.23029618,0.46192778
48.3,0.2588405,0.2588405,0.52229642
48.4,0.237121,0.237121,0.47939893
48.5,0.25581699,0.25581699,0.5120294
48.6,0.23013182,0.23013182,0.46425914
48.7,0.22542008,0.22542008,0.45306715
48.8,0.15722993,0.15722993,0.31365565
48.9,0.12612923,0.12612923,0.25309087
49,0.11530154,0.11530154,0.22688783
49.1,0.10236325,0.10236325,0.20482544
49.2,0.060780396,0.060780396,0.12299722
49.3,0.085567688,0.085567688,0.16836354
49.4,0.067399967,0.067399967,0.13500411
49.5,0.086055157,0.086055157,0.17244873
49.6,0.089893618,0.089893618,0.17873843
49.7,0.14082028,0.14082028,0.28172092
49.8,0.16466873,0.16466873,0.33080245
49.9,0.17080898,0.17080898,0.3422803
50,0.14152764,0.14152764,0.28576627
50.1,0.16223559,0.16223559,0.32575525
50.2,0.19339474,0.19339474,0.37821066
50.3,0.15428749,0.15428749,0.30526289
50.4,0.10203861,0.10203861,0.19785963
50.5,0.079930443,0.079930443,0.15795057
50.6,0.071677785,0.071677785,0.14402946
50.7,0.075116512,0.075116512,0.1506403
50.8,0.057954428,0.057954428,0.11531392
50.9,0.063175297,0.063175297,0.12723427
51,0.092949235,0.092949235,0.18643781
51.1,0.086090305,0.086090305,0.17340852
51.2,0.10175972,0.10175972,0.20417355
51.3,0.10617862,0.10617862,0.21299723
51.4,0.12555131,0.12555131,0.25267679
51.5,0.17221336,0.17221336,0.33994599
51.6,0.16579629,0.16579629,0.32636488
51.7,0.11292845,0.11292845,0.22557384
51.8,0.11801103,0.11801103,0.23592475
51.9,0.13342355,0.13342355,0.2675158
52,0.13811434,0.13811434,0.27913627
52.1,0.14815114,0.14815114,0.29523671
52.2,0.12021411,0.12021411,0.24044578
52.3,0.12856704,0.12856704,0.25872867
52.4,0.14794442,0.14794442,0.29521617
52.5,0.15657193,0.15657193,0.31554359
52.6,0.16505348,0.16505348,0.33182493
52.7,0.16139281,0.16139281,0.32547212
52.8,0.16985028,0.16985028,0.34297409
52.9,0.17489435,0.17489435,0.34604164
53,0.13210137,0.13210137,0.26603277
53.1,0.14682648,0.14682648,0.29608077
53.2,0.12282516,0.12282516,0.24615306
53.3,0.11436525,0.11436525,0.22909712
53.4,0.075982236,0.075982236,0.15150917
53.5,0.080911442,0.080911442,0.15929618
53.6,0.08639928,0.08639928,0.17384907
53.7,0.072984465,0.072984465,0.14652301
53.8,0.054754005,0.054754005,0.10946683
53.9,0.057758692,0.057758692,0.11599313
54,0.068276693,0.068276693,0.13616198
54.1,0.072847531,0.072847531,0.14665129
54.2,0.08822089,0.08822089,0.17773711
54.3,0.083211335,0.083211335,0.16732437
54.4,0.075858962,0.075858962,0.15263535
54.5,0.099362499,0.099362499,0.19875439
54.6,0.092029252,0.092029252,0.18334242
54.7,0.10105049,0.10105049,0.19957024
54.8,0.081618865,0.081618865,0.16449333
54.9,0.073450746,0.073450746,0.14807369
55,0.07054337,0.07054337,0.14254145
55.1,0.063588508,0.063588508,0.12845566
55.2,0.05865676,0.05865676,0.1175296
55.3,0.063162521,0.063162521,0.12490839
55.4,0.068413133,0.068413133,0.1349049
55.5,0.068326037,0.068326037,0.13520226
55.6,0.074856952,0.074856952,0.15059681
55.7,0.086761965,0.086761965,0.17488143
55.8,0.087664896,0.087664896,0.17639967
55.9,0.091892966,0.091892966,0.1845098
56,0.090490484,0.090490484,0.1818745
56.1,0.086545825,0.086545825,0.17180928
56.2,0.078774992,0.078774992,0.15782354
56.3,0.062642607,0.062642607,0.12509762
56.4,0.034352006,0.034352006,0.069264167
56.5,0.042358456,0.042358456,0.084671526
56.6,0.050474799,0.050474799,0.10150212
56.7,0.045760282,0.045760282,0.092434242
56.8,0.075026817,0.075026817,0.14906255
56.9,0.076400297,0.076400297,0.15386031
57,0.076448533,0.076448533,0.15370882
57.1,0.075236577,0.075236577,0.15067777
57.2,0.075394873,0.075394873,0.15063848
57.3,0.083236464,0.083236464,0.16750303
57.4,0.098923998,0.098923998,0.19837825
57.5,0.112355,0.112355,0.22067806
57.6,0.08565836,0.08565836,0.17297591
57.7,0.085616459,0.085616459,0.17261551
57.8,0.081466544,0.081466544,0.16390843
57.9,0.079033982,0.079033982,0.15859427
58,0.048353381,0.048353381,0.097448636
58.1,0.043202969,0.043202969,0.085078183
58.2,0.030374753,0.030374753,0.06052074
58.3,0.018458962,0.018458962,0.036789372
58.4,0.038437904,0.038437904,0.076529143
58.5,0.035987818,0.035987818,0.072161075
58.6,0.041605999,0.041605999,0.082745705
58.7,0.044628274,0.044628274,0.088205338
58.8,0.036524939,0.036524939,0.073553818
58.9,0.058527279,0.058527279,0.11590801
59,0.052000149,0.052000149,0.10399204
59.1,0.047692926,0.047692926,0.096191451
59.2,0.054375923,0.054375923,0.10754642
59.3,0.044575429,0.044575429,0.089843779
59.4,0.044724113,0.044724113,0.090011377
59.5,0.039261705,0.039261705,0.079094342
59.6,0.034130137,0.034130137,0.068468514
59.7,0.058204804,0.058204804,0.11567522
59.8,0.055855278,0.055855278,0.11176645
59.9,0.060751885,0.060751885,0.12118701
60,0.056653329,0.056653329,0.11361215
60.1,0.0589999,0.0589999,0.11823814
60.2,0.068097299,0.068097299,0.13762228
60.3,0.065796862,0.065796862,0.13286553
60.4,0.069379347,0.069379347,0.13457943
60.5,0.067529682,0.067529682,0.13503446
60.6,0.066233998,0.066233998,0.13247678
60.7,0.069591972,0.069591972,0.13867017
60.8,0.067524872,0.067524872,0.13575257
60.9,0.060231113,0.060231113,0.1217518
61,0.065081098,0.065081098,0.13068868
61.1,0.050528284,0.050528284,0.10012158
61.2,0.021273168,0.021273168,0.042671159
61.3,0.02556464,0.02556464,0.051069839
61.4,0.025211724,0.025211724,0.050765175
61.5,0.02303798,0.02303798,0.045696268
61.6,0.025837338,0.025837338,0.051649556
61.7,0.026862067,0.026862067,0.054218366
61.8,0.026138145,0.026138145,0.052367748
61.9,0.035920753,0.035920753,0.071327068
62,0.035695709,0.035695709,0.070682773
62.1,0.026043777,0.026043777,0.051925226
62.2,0.028490908,0.028490908,0.056428175
62.3,0.039548503,0.039548503,0.076761475
62.4,0.031721962,0.031721962,0.064088952
62.5,0.032562611,0.032562611,0.06593277
62.6,0.033068305,0.033068305,0.065949164
62.7,0.030653494,0.030653494,0.061855141
62.8,0.0319518,0.0319518,0.064380843
62.9,0.039532978,0.039532978,0.079196762
63,0.053510607,0.053510607,0.10749988
63.1,0.044617063,0.044617063,0.088515662
63.2,0.040190873,0.040190873,0.080445794
63.3,0.036485188,0.036485188,0.073685498
63.4,0.032300996,0.032300996,0.06490919
63.5,0.029687473,0.029687473,0.059973949
63.6,0.030865681,0.030865681,0.061925993
63.7,0.04194707,0.04194707,0.082993206
63.8,0.036417517,0.036417517,0.072057117
63.9,0.03526895,0.03526895,0.070278523
64,0.035187888,0.035187888,0.070157684
64.1,0.037378742,0.037378742,0.074525534
64.2,0.037558151,0.037558151,0.075366392
64.3,0.029875548,0.029875548,0.059913613
64.4,0.026566922,0.026566922,0.052872816
64.5,0.028168874,0.028168874,0.05672726
64.6,0.03968732,0.03968732,0.078573644
64.7,0.03911328,0.03911328,0.078785587
64.8,0.040198497,0.040198497,0.079416436
64.9,0.026796999,0.026796999,0.05392567
65,0.028823957,0.028823957,0.057697797
65.1,0.031457875,0.031457875,0.062899177
65.2,0.021320481,0.021320481,0.04281148
65.3,0.02054591,0.02054591,0.041343324
65.4,0.014022854,0.014022854,0.028314056
65.5,0.012119369,0.012119369,0.024580378
65.6,0.014134513,0.014134513,0.028040731
65.7,0.015188019,0.015188019,0.029716701
65.8,0.01157871,0.01157871,0.023215742
65.9,0.012701129,0.012701129,0.025373239
66,0.014082111,0.014082111,0.028545378
66.1,0.017629023,0.017629023,0.035268126
66.2,0.019605746,0.019605746,0.038943634
66.3,0.028671286,0.028671286,0.057798106
66.4,0.0303735,0.0303735,0.061113669
66.5,0.032060042,0.032060042,0.063656407
66.6,0.027550526,0.027550526,0.055253201
66.7,0.033489865,0.033489865,0.066252627
66.8,0.02713254,0.02713254,0.05334793
66.9,0.027009637,0.027009637,0.053655756
67,0.019749673,0.019749673,0.03983647
67.1,0.028185614,0.028185614,0.056223043
67.2,0.030316779,0.030316779,0.060999763
67.3,0.033493672,0.033493672,0.067779774
