epoch,start_sec,expert_stage,pred_stage,rel_delta,rel_theta,rel_alpha,rel_sigma,rel_beta
34,990.0,W,N3,0.866478,0.058521,0.021977,0.018133,0.03489
35,1020.0,W,N3,0.860654,0.050568,0.030211,0.02051,0.038057
36,1050.0,W,N3,0.869642,0.052114,0.024113,0.015856,0.038274
37,1080.0,W,N3,0.864602,0.072257,0.024077,0.010821,0.028243
38,1110.0,W,N3,0.872171,0.062844,0.021123,0.010629,0.033234
39,1140.0,W,N3,0.8788,0.07726,0.016443,0.008848,0.01865
40,1170.0,W,N3,0.906313,0.053581,0.014426,0.006869,0.018811
41,1200.0,W,N3,0.881222,0.063146,0.020831,0.01048,0.024322
42,1230.0,W,N3,0.854974,0.080505,0.023758,0.011761,0.029002
43,1260.0,W,N3,0.887456,0.081303,0.014606,0.005506,0.011128
44,1290.0,W,N3,0.902204,0.060353,0.016376,0.007265,0.013802
45,1320.0,W,N3,0.908803,0.043166,0.015004,0.010753,0.022274
46,1350.0,W,N3,0.911205,0.050993,0.014416,0.006975,0.016411
47,1380.0,W,N3,0.894048,0.055559,0.017241,0.007844,0.025308
48,1410.0,W,N3,0.835395,0.083347,0.02406,0.016125,0.041073
49,1440.0,W,N3,0.891531,0.064946,0.018182,0.007717,0.017624
50,1470.0,W,N3,0.873886,0.067637,0.019521,0.010686,0.02827
51,1500.0,W,N3,0.856522,0.063072,0.023095,0.013876,0.043434
52,1530.0,W,N3,0.773942,0.082337,0.038783,0.026911,0.078027
53,1560.0,W,N3,0.85428,0.071619,0.025229,0.013659,0.035214
54,1590.0,W,N3,0.813587,0.091327,0.031748,0.019307,0.044032
55,1620.0,W,N3,0.823359,0.072309,0.030284,0.023826,0.050221
56,1650.0,W,N3,0.864433,0.066011,0.02401,0.013742,0.031803
57,1680.0,W,N3,0.857953,0.082594,0.028795,0.009994,0.020664
58,1710.0,W,N3,0.775868,0.120943,0.041584,0.019161,0.042443
59,1740.0,W,N3,0.785668,0.122078,0.040545,0.01629,0.035418
60,1770.0,W,N3,0.85362,0.087849,0.028607,0.010435,0.019488
61,1800.0,W,N3,0.801407,0.114788,0.037076,0.015343,0.031385
62,1830.0,W,N3,0.848833,0.094541,0.026758,0.011595,0.018272
63,1860.0,W,N3,0.896644,0.057584,0.018297,0.007661,0.019814
64,1890.0,W,N3,0.811849,0.117961,0.037601,0.011576,0.021013
65,1920.0,W,N3,0.890927,0.064455,0.021905,0.007659,0.015054
66,1950.0,W,N3,0.820843,0.092911,0.043296,0.014687,0.028264
67,1980.0,W,N3,0.847134,0.089316,0.03587,0.010951,0.016729
68,2010.0,W,N3,0.837352,0.109509,0.029875,0.009549,0.013715
69,2040.0,W,N3,0.874432,0.082406,0.023381,0.007989,0.011792
70,2070.0,W,N3,0.871598,0.073354,0.028418,0.010304,0.016326
71,2100.0,W,N3,0.757146,0.13759,0.050964,0.017574,0.036726
72,2130.0,W,N3,0.832033,0.107216,0.03476,0.013329,0.012661
73,2160.0,W,N3,0.70468,0.184327,0.081131,0.01357,0.016291
74,2190.0,W,N3,0.759018,0.158591,0.046796,0.01312,0.022475
75,2220.0,W,N3,0.880826,0.088326,0.018678,0.005414,0.006755
76,2250.0,W,N3,0.886002,0.084735,0.015213,0.005755,0.008295
77,2280.0,W,N3,0.86105,0.106487,0.018101,0.006563,0.0078
78,2310.0,W,N3,0.861174,0.109056,0.017025,0.005357,0.007388
79,2340.0,W,N3,0.894857,0.083533,0.012742,0.004311,0.004557
80,2370.0,W,N3,0.901168,0.08002,0.011133,0.003353,0.004327
81,2400.0,W,N3,0.884639,0.094292,0.013648,0.003707,0.003714
82,2430.0,W,N3,0.908573,0.071463,0.011838,0.003808,0.004317
83,2460.0,W,N3,0.864529,0.115077,0.011043,0.003699,0.005653
84,2490.0,W,N3,0.859643,0.109455,0.016413,0.005556,0.008934
85,2520.0,W,N3,0.878615,0.092173,0.015495,0.004671,0.009047
86,2550.0,W,N3,0.871009,0.09578,0.014813,0.005361,0.013037
87,2580.0,W,N3,0.881253,0.09473,0.015112,0.004943,0.003962
88,2610.0,W,N3,0.892044,0.085711,0.013401,0.004237,0.004607
89,2640.0,W,N3,0.887351,0.087973,0.011909,0.005219,0.007548
90,2670.0,W,N3,0.882368,0.09221,0.015027,0.004893,0.005501
91,2700.0,W,N3,0.876544,0.100346,0.013744,0.004486,0.00488
92,2730.0,W,N3,0.844991,0.120519,0.017449,0.006337,0.010704
93,2760.0,W,N3,0.871079,0.105685,0.012821,0.004351,0.006063
94,2790.0,W,N3,0.868803,0.099613,0.014496,0.00584,0.011248
95,2820.0,W,N3,0.885261,0.089009,0.013238,0.005469,0.007024
96,2850.0,W,N3,0.875221,0.098748,0.013979,0.005373,0.006678
97,2880.0,W,N3,0.901314,0.079647,0.011272,0.004005,0.003763
98,2910.0,W,N3,0.884206,0.09456,0.013053,0.004054,0.004128
99,2940.0,W,N3,0.889267,0.089188,0.012925,0.004445,0.004175
100,2970.0,W,N3,0.865746,0.111605,0.01341,0.004499,0.00474
101,3000.0,W,N3,0.871147,0.101366,0.017063,0.005096,0.005329
102,3030.0,W,N3,0.863202,0.114202,0.013741,0.004079,0.004776
103,3060.0,W,N3,0.84474,0.114399,0.017574,0.007456,0.015831
104,3090.0,W,N3,0.858893,0.086418,0.021042,0.011349,0.022298
105,3120.0,W,N3,0.870923,0.074888,0.019205,0.011072,0.023912
106,3150.0,W,N3,0.856487,0.097407,0.015827,0.009184,0.021095
107,3180.0,W,N3,0.828809,0.076705,0.029524,0.018467,0.046496
108,3210.0,W,N3,0.902201,0.040973,0.018557,0.011367,0.026903
109,3240.0,W,N3,0.879017,0.067433,0.019529,0.007946,0.026075
110,3270.0,W,N3,0.838164,0.086705,0.023824,0.013408,0.037899
111,3300.0,W,N3,0.880057,0.064596,0.018865,0.009712,0.026771
112,3330.0,W,N3,0.914166,0.040875,0.016953,0.008814,0.019193
113,3360.0,W,N3,0.899896,0.039201,0.019112,0.013134,0.028657
114,3390.0,W,N3,0.912112,0.044917,0.013677,0.008398,0.020897
115,3420.0,W,N3,0.819506,0.091282,0.031655,0.015853,0.041704
116,3450.0,W,N3,0.880975,0.051098,0.019742,0.0127,0.035484
117,3480.0,W,N3,0.813052,0.083218,0.029606,0.020533,0.053592
118,3510.0,W,N3,0.861781,0.07853,0.018009,0.01069,0.03099
119,3540.0,W,N3,0.838918,0.083084,0.027517,0.014508,0.035973
120,3570.0,W,N3,0.853196,0.075124,0.022631,0.014705,0.034343
121,3600.0,W,N3,0.88401,0.058009,0.017712,0.011062,0.029208
122,3630.0,W,N3,0.868919,0.057849,0.02202,0.013674,0.037538
123,3660.0,W,N3,0.879265,0.056746,0.020815,0.011607,0.031567
124,3690.0,W,N3,0.87414,0.050702,0.022134,0.014653,0.03837
125,3720.0,W,N3,0.867337,0.057694,0.023574,0.015004,0.036392
126,3750.0,W,N3,0.861955,0.064646,0.02536,0.013436,0.034603
127,3780.0,W,N3,0.839186,0.074145,0.028678,0.014644,0.043348
128,3810.0,W,N3,0.846482,0.078298,0.024089,0.014479,0.036653
129,3840.0,W,N3,0.871835,0.057851,0.024952,0.013719,0.031643
130,3870.0,W,N3,0.915363,0.032642,0.014921,0.010001,0.027072
131,3900.0,W,N3,0.894251,0.043567,0.020206,0.011977,0.029999
132,3930.0,W,N3,0.796222,0.077949,0.037275,0.0267,0.061854
133,3960.0,W,N3,0.857261,0.07106,0.024074,0.013776,0.033828
134,3990.0,W,N3,0.820962,0.086738,0.034245,0.01592,0.042136
135,4020.0,W,N3,0.882454,0.062389,0.01788,0.009957,0.027321
136,4050.0,W,N3,0.856805,0.064312,0.024108,0.015622,0.039153
137,4080.0,W,N3,0.866827,0.069429,0.020227,0.010846,0.03267
138,4110.0,W,N3,0.870708,0.065974,0.020218,0.012458,0.030642
139,4140.0,W,N3,0.877416,0.074584,0.01645,0.007725,0.023825
140,4170.0,W,N3,0.889719,0.07117,0.014371,0.007476,0.017265
141,4200.0,W,N3,0.890254,0.064158,0.018354,0.008074,0.019161
142,4230.0,W,N3,0.846149,0.079312,0.025243,0.012601,0.036697
143,4260.0,W,N3,0.898494,0.052129,0.017037,0.008279,0.024062
144,4290.0,W,N3,0.881206,0.065228,0.020116,0.008241,0.02521
145,4320.0,W,N3,0.863162,0.073916,0.01861,0.010721,0.033591
146,4350.0,W,N3,0.866943,0.071388,0.021096,0.010808,0.029766
147,4380.0,W,N3,0.883628,0.061638,0.016499,0.011974,0.026261
148,4410.0,W,N3,0.90088,0.056324,0.014461,0.008701,0.019634
149,4440.0,W,N3,0.86159,0.072063,0.021746,0.014365,0.030237
150,4470.0,W,N3,0.876427,0.073831,0.020923,0.008631,0.020188
151,4500.0,W,N1,0.850595,0.06983,0.027158,0.01501,0.037406
152,4530.0,W,N3,0.837312,0.074734,0.033559,0.017106,0.037289
153,4560.0,W,N3,0.825802,0.091439,0.029797,0.017575,0.035386
154,4590.0,W,N3,0.868489,0.057362,0.027279,0.014921,0.031949
155,4620.0,W,N3,0.894502,0.059744,0.016968,0.009136,0.019651
156,4650.0,W,N3,0.843082,0.071929,0.030023,0.019365,0.0356
157,4680.0,W,N3,0.825244,0.062843,0.038148,0.024315,0.049451
158,4710.0,W,N3,0.804866,0.077298,0.041034,0.022856,0.053945
159,4740.0,W,N3,0.883729,0.057611,0.021975,0.012757,0.023929
160,4770.0,W,N3,0.850094,0.069404,0.027118,0.015802,0.037582
161,4800.0,W,N3,0.765475,0.083718,0.040656,0.034445,0.075706
162,4830.0,W,N1,0.813622,0.067699,0.038958,0.025856,0.053865
163,4860.0,W,N1,0.837771,0.069935,0.03647,0.022075,0.033749
164,4890.0,W,N3,0.854216,0.064746,0.028092,0.016124,0.036823
165,4920.0,W,N3,0.8498,0.078455,0.027619,0.012665,0.031461
166,4950.0,W,N3,0.844539,0.074037,0.026451,0.017823,0.037149
167,4980.0,W,N3,0.80397,0.07864,0.040069,0.025781,0.051541
168,5010.0,W,N3,0.843889,0.062896,0.029624,0.020387,0.043203
169,5040.0,W,N3,0.877454,0.048959,0.02431,0.015621,0.033655
170,5070.0,W,N3,0.808521,0.076206,0.037941,0.024246,0.053087
171,5100.0,W,N3,0.871907,0.056666,0.025855,0.016478,0.029094
172,5130.0,W,N3,0.855717,0.065484,0.030111,0.017618,0.031071
173,5160.0,W,N3,0.831699,0.063095,0.034364,0.020856,0.049986
174,5190.0,W,N3,0.830845,0.08104,0.035555,0.016913,0.035646
175,5220.0,W,N3,0.820553,0.078217,0.037212,0.018716,0.045301
176,5250.0,W,N3,0.829413,0.066847,0.038364,0.020301,0.045075
177,5280.0,W,N1,0.794326,0.076892,0.048729,0.023381,0.056672
178,5310.0,W,N3,0.883898,0.044219,0.028218,0.012297,0.031368
179,5340.0,W,N3,0.770163,0.074548,0.046419,0.031582,0.077288
180,5370.0,W,N3,0.848768,0.050617,0.030872,0.020558,0.049185
181,5400.0,W,N3,0.771787,0.086466,0.049285,0.027185,0.065278
182,5430.0,W,N3,0.801234,0.064062,0.050074,0.02643,0.0582
183,5460.0,W,N3,0.868379,0.04251,0.02799,0.022827,0.038295
184,5490.0,W,N3,0.871493,0.049744,0.026913,0.014146,0.037705
185,5520.0,W,N3,0.847508,0.062726,0.032281,0.015913,0.041572
186,5550.0,W,N3,0.794531,0.083,0.041812,0.022408,0.058249
187,5580.0,W,N1,0.724051,0.088725,0.063018,0.033018,0.091189
188,5610.0,W,N1,0.68691,0.089826,0.072754,0.045603,0.104908
189,5640.0,W,N3,0.878557,0.048425,0.029882,0.01347,0.029666
190,5670.0,W,N3,0.863676,0.055139,0.026059,0.016461,0.038664
191,5700.0,W,N3,0.857718,0.05536,0.03147,0.014566,0.040886
192,5730.0,W,N3,0.863198,0.056578,0.024775,0.017665,0.037784
193,5760.0,W,N3,0.79666,0.072796,0.049138,0.024321,0.057085
194,5790.0,W,N3,0.852664,0.068153,0.031373,0.014529,0.033281
195,5820.0,W,N3,0.802364,0.076052,0.045904,0.020343,0.055337
196,5850.0,W,N3,0.779827,0.066985,0.053371,0.02957,0.070247
197,5880.0,W,N3,0.743207,0.081933,0.062231,0.034889,0.07774
198,5910.0,W,N3,0.755092,0.093047,0.051189,0.028588,0.072085
199,5940.0,W,N1,0.715881,0.084784,0.072159,0.037532,0.089645
200,5970.0,W,N1,0.778435,0.074758,0.04729,0.027532,0.071984
201,6000.0,W,N3,0.885247,0.052875,0.021898,0.013464,0.026515
202,6030.0,W,N3,0.886299,0.049421,0.021063,0.013469,0.029748
203,6060.0,W,N3,0.880899,0.056785,0.024527,0.011445,0.026345
204,6090.0,W,N3,0.841681,0.07308,0.035518,0.016315,0.033406
205,6120.0,W,N3,0.836391,0.064817,0.031924,0.02171,0.045157
206,6150.0,W,N3,0.834584,0.071705,0.033101,0.018094,0.042517
207,6180.0,W,N3,0.856046,0.07641,0.024653,0.010603,0.032288
208,6210.0,W,N3,0.880039,0.073796,0.01856,0.008453,0.019152
209,6240.0,W,N3,0.806237,0.06989,0.036685,0.026107,0.06108
210,6270.0,W,N3,0.835794,0.070796,0.030922,0.015827,0.046661
211,6300.0,W,N3,0.80384,0.094093,0.038377,0.015938,0.047752
212,6330.0,W,N3,0.807901,0.095498,0.043082,0.014896,0.038623
213,6360.0,W,N3,0.855938,0.071974,0.027666,0.014382,0.030041
214,6390.0,W,N3,0.871371,0.068819,0.021836,0.011387,0.026588
215,6420.0,W,N3,0.724606,0.139214,0.055407,0.021612,0.05916
216,6450.0,W,N3,0.861409,0.073149,0.024804,0.012236,0.028403
217,6480.0,W,N3,0.803586,0.101585,0.040727,0.02006,0.034042
218,6510.0,W,N3,0.812847,0.088234,0.037641,0.018085,0.043192
219,6540.0,W,N3,0.83674,0.06038,0.034644,0.021019,0.047218
220,6570.0,W,N3,0.844556,0.066909,0.02984,0.015829,0.042865
221,6600.0,W,N1,0.743644,0.070715,0.059359,0.042899,0.083383
222,6630.0,W,N1,0.794349,0.08487,0.04068,0.024456,0.055645
223,6660.0,W,N3,0.830455,0.056244,0.036253,0.020628,0.05642
224,6690.0,W,N3,0.822477,0.075351,0.03371,0.018153,0.050309
225,6720.0,W,N3,0.865442,0.065207,0.021404,0.013331,0.034617
226,6750.0,W,N3,0.811646,0.07733,0.033245,0.021459,0.05632
227,6780.0,W,N3,0.863147,0.072008,0.024404,0.011382,0.029059
228,6810.0,W,N3,0.856593,0.072134,0.024146,0.013349,0.033779
229,6840.0,W,N3,0.86577,0.049488,0.030107,0.01725,0.037385
230,6870.0,W,N3,0.859007,0.055833,0.028962,0.017875,0.038322
231,6900.0,W,N3,0.791643,0.086796,0.041814,0.022872,0.056876
232,6930.0,W,N3,0.86586,0.053971,0.026221,0.01477,0.039178
233,6960.0,W,N3,0.873982,0.055363,0.020836,0.013603,0.036215
234,6990.0,W,N3,0.878777,0.061145,0.025189,0.011604,0.023285
235,7020.0,W,N3,0.88919,0.054029,0.01753,0.012951,0.0263
236,7050.0,W,N3,0.882487,0.064203,0.016728,0.009699,0.026884
237,7080.0,W,N3,0.893281,0.051085,0.01822,0.009305,0.02811
238,7110.0,W,N3,0.884047,0.046949,0.021464,0.011344,0.036196
239,7140.0,W,N3,0.833896,0.071345,0.031069,0.018583,0.045107
240,7170.0,W,N3,0.904465,0.050217,0.016942,0.010034,0.018342
241,7200.0,W,N3,0.914682,0.059753,0.01184,0.004756,0.00897
242,7230.0,W,N3,0.887048,0.060376,0.017116,0.008557,0.026904
243,7260.0,W,N3,0.866251,0.057986,0.02532,0.01344,0.037003
244,7290.0,W,N1,0.916518,0.044714,0.015068,0.00618,0.017519
245,7320.0,W,N3,0.939929,0.030049,0.011355,0.005436,0.013231
246,7350.0,W,N3,0.904244,0.04805,0.015816,0.008239,0.023652
247,7380.0,W,N3,0.817994,0.077476,0.034821,0.01736,0.052349
248,7410.0,W,N3,0.837949,0.055629,0.03207,0.0188,0.055553
249,7440.0,W,N3,0.847123,0.040902,0.02719,0.023485,0.0613
250,7470.0,W,N3,0.904969,0.044342,0.017126,0.008746,0.024816
251,7500.0,W,N3,0.833023,0.070201,0.031494,0.017409,0.047873
252,7530.0,W,N3,0.796043,0.076013,0.039483,0.023022,0.065439
253,7560.0,W,N3,0.815185,0.075473,0.033932,0.018625,0.056785
254,7590.0,W,N1,0.863578,0.055393,0.022772,0.017663,0.040595
255,7620.0,W,N3,0.884003,0.042953,0.024685,0.012232,0.036126
256,7650.0,W,N3,0.856303,0.057386,0.027246,0.015397,0.043669
257,7680.0,W,N3,0.864343,0.06679,0.025299,0.012778,0.030789
258,7710.0,W,N3,0.851056,0.067426,0.026486,0.016862,0.03817
259,7740.0,W,N3,0.894704,0.053392,0.01903,0.009189,0.023684
260,7770.0,W,N3,0.86046,0.065327,0.026121,0.012,0.036092
261,7800.0,W,N3,0.813286,0.076807,0.034127,0.022935,0.052845
262,7830.0,W,N3,0.847651,0.042705,0.028005,0.02355,0.058089
263,7860.0,W,N3,0.787736,0.092916,0.034077,0.019481,0.06579
264,7890.0,W,N3,0.742811,0.085545,0.048773,0.03509,0.087781
265,7920.0,W,N3,0.820393,0.070128,0.033983,0.020987,0.05451
266,7950.0,W,N3,0.813515,0.119303,0.039314,0.010224,0.017644
267,7980.0,W,N3,0.7798,0.145972,0.044538,0.010715,0.018975
268,8010.0,W,N3,0.857593,0.098974,0.026552,0.006046,0.010835
269,8040.0,W,N3,0.864877,0.08039,0.033241,0.008868,0.012624
270,8070.0,W,N3,0.837408,0.086867,0.027974,0.014285,0.033466
271,8100.0,W,N3,0.881788,0.065186,0.021892,0.010437,0.020697
272,8130.0,W,N3,0.903524,0.049162,0.016676,0.008255,0.022383
273,8160.0,W,N3,0.856688,0.087244,0.02407,0.011136,0.020862
274,8190.0,W,N3,0.910044,0.057699,0.016385,0.005657,0.010215
275,8220.0,W,N3,0.792075,0.135159,0.041321,0.011406,0.020039
276,8250.0,W,N3,0.870808,0.088268,0.023232,0.006934,0.010758
277,8280.0,W,N3,0.825345,0.121158,0.032052,0.008686,0.012758
278,8310.0,W,N3,0.788055,0.143732,0.040486,0.00975,0.017977
279,8340.0,W,N3,0.916545,0.054499,0.01374,0.004787,0.010429
280,8370.0,W,N3,0.884001,0.078324,0.020986,0.006721,0.009968
281,8400.0,W,N3,0.88752,0.072624,0.022484,0.006193,0.01118
282,8430.0,W,N3,0.878445,0.076421,0.018896,0.008064,0.018174
283,8460.0,W,N3,0.869941,0.081351,0.023021,0.008589,0.017098
284,8490.0,W,N3,0.881652,0.073425,0.021172,0.008724,0.015027
285,8520.0,W,N3,0.881362,0.074938,0.021624,0.007786,0.01429
286,8550.0,W,N3,0.935268,0.048594,0.008686,0.002857,0.004595
287,8580.0,W,N3,0.898296,0.067435,0.017767,0.00574,0.010762
288,8610.0,W,N3,0.880432,0.077067,0.024291,0.006914,0.011296
289,8640.0,W,N3,0.863466,0.092418,0.021111,0.008206,0.014798
290,8670.0,W,N3,0.805168,0.117208,0.038638,0.013894,0.025091
291,8700.0,W,N3,0.787398,0.151102,0.030815,0.01042,0.020265
292,8730.0,W,N3,0.891964,0.064845,0.01863,0.0077,0.016861
293,8760.0,W,N3,0.852965,0.09845,0.023933,0.008141,0.01651
294,8790.0,W,N3,0.827799,0.11902,0.027793,0.007895,0.017493
295,8820.0,W,N3,0.838776,0.099351,0.030568,0.009901,0.021404
296,8850.0,W,N3,0.868842,0.089645,0.022044,0.006293,0.013176
297,8880.0,W,N3,0.923562,0.047183,0.01345,0.004627,0.011177
298,8910.0,W,N3,0.827006,0.101616,0.027283,0.011011,0.033084
299,8940.0,W,N3,0.852833,0.094097,0.02055,0.008901,0.023619
300,8970.0,W,N3,0.867788,0.076486,0.019213,0.008448,0.028065
301,9000.0,W,N3,0.851895,0.081016,0.024593,0.009777,0.032719
302,9030.0,W,N3,0.851622,0.072878,0.03058,0.010553,0.034367
303,9060.0,W,N3,0.824177,0.103034,0.030438,0.009731,0.03262
304,9090.0,W,N3,0.846117,0.089012,0.027498,0.010192,0.027181
305,9120.0,W,N3,0.848256,0.100568,0.021979,0.008337,0.02086
306,9150.0,W,N3,0.822908,0.093738,0.036213,0.015527,0.031615
307,9180.0,W,N3,0.872771,0.081359,0.020773,0.007553,0.017544
308,9210.0,W,N3,0.871687,0.051298,0.022519,0.016167,0.038328
309,9240.0,W,N3,0.903837,0.044616,0.016119,0.010779,0.024648
310,9270.0,W,N3,0.911216,0.044687,0.017374,0.007702,0.019021
311,9300.0,W,N3,0.840296,0.064134,0.032512,0.018198,0.04486
312,9330.0,W,N3,0.882091,0.053846,0.021747,0.01267,0.029647
313,9360.0,W,N3,0.841283,0.086933,0.032597,0.010724,0.028463
314,9390.0,W,N3,0.830683,0.099163,0.031791,0.011502,0.026862
315,9420.0,W,N3,0.872492,0.080708,0.021118,0.008027,0.017655
316,9450.0,W,N3,0.854525,0.086876,0.02492,0.008442,0.025237
317,9480.0,W,N3,0.881989,0.058847,0.025721,0.011859,0.021584
318,9510.0,W,N3,0.878932,0.080171,0.019167,0.007756,0.013975
319,9540.0,W,N3,0.896514,0.063068,0.019614,0.007055,0.013749
320,9570.0,W,N3,0.8835,0.064101,0.022296,0.010293,0.01981
321,9600.0,W,N3,0.800481,0.088137,0.035617,0.017855,0.057911
322,9630.0,W,N3,0.878352,0.074825,0.021127,0.006682,0.019014
323,9660.0,W,N3,0.831728,0.09087,0.026743,0.013013,0.037647
324,9690.0,W,N3,0.854978,0.066907,0.025474,0.014664,0.037976
325,9720.0,W,N3,0.785867,0.099876,0.031286,0.017517,0.065454
326,9750.0,W,N3,0.886197,0.049506,0.019686,0.011534,0.033077
327,9780.0,W,N3,0.896114,0.049044,0.019903,0.011683,0.023256
328,9810.0,W,N1,0.78211,0.070813,0.046435,0.032848,0.067794
329,9840.0,W,N3,0.856499,0.053742,0.029752,0.018178,0.04183
330,9870.0,W,N3,0.741848,0.074701,0.053481,0.034111,0.095859
331,9900.0,W,N1,0.827932,0.062786,0.03364,0.018217,0.057425
332,9930.0,W,N3,0.935579,0.030578,0.012282,0.007704,0.013857
333,9960.0,W,N3,0.888289,0.050178,0.024027,0.01164,0.025867
334,9990.0,W,N3,0.839798,0.056333,0.03282,0.02063,0.050418
335,10020.0,W,N1,0.771689,0.085001,0.045864,0.029219,0.068227
336,10050.0,W,N3,0.75581,0.094177,0.051606,0.030263,0.068143
337,10080.0,W,N3,0.679889,0.090909,0.079541,0.042501,0.10716
338,10110.0,W,N3,0.696039,0.083547,0.069864,0.042243,0.108307
339,10140.0,W,N3,0.640746,0.092008,0.087578,0.048523,0.131144
340,10170.0,W,N1,0.594497,0.111833,0.099217,0.054157,0.140297
341,10200.0,W,N3,0.599881,0.103916,0.105377,0.050493,0.140333
342,10230.0,W,N3,0.685287,0.095859,0.068452,0.037282,0.11312
343,10260.0,W,N3,0.759071,0.073302,0.055952,0.036696,0.07498
344,10290.0,W,N3,0.685585,0.092655,0.078576,0.042197,0.100986
345,10320.0,W,N1,0.616905,0.123594,0.095147,0.049938,0.114415
346,10350.0,W,N3,0.788399,0.062952,0.045127,0.031543,0.071979
347,10380.0,W,N3,0.644281,0.096066,0.08584,0.049975,0.123837
348,10410.0,W,N3,0.670626,0.102466,0.073929,0.036699,0.11628
349,10440.0,W,N1,0.673027,0.087027,0.079368,0.043688,0.11689
350,10470.0,W,N3,0.69791,0.105727,0.066311,0.036458,0.093595
351,10500.0,W,N3,0.659107,0.097912,0.082475,0.049337,0.111168
352,10530.0,W,N3,0.751055,0.065374,0.062828,0.038142,0.082601
353,10560.0,W,N3,0.663875,0.089511,0.087725,0.051315,0.107576
354,10590.0,W,N3,0.729114,0.073146,0.061567,0.038114,0.098058
355,10620.0,W,N3,0.749177,0.085257,0.051886,0.034836,0.078843
356,10650.0,W,N3,0.784732,0.0683,0.04664,0.027443,0.072884
357,10680.0,W,N3,0.861609,0.047705,0.030629,0.016415,0.043641
358,10710.0,W,N3,0.700216,0.091892,0.071551,0.0345,0.10184
359,10740.0,W,N3,0.691706,0.095783,0.071488,0.047616,0.093407
360,10770.0,W,N1,0.788922,0.084462,0.049868,0.025119,0.05163
361,10800.0,W,N3,0.806661,0.07401,0.03973,0.023731,0.055868
362,10830.0,W,N1,0.841075,0.05576,0.033543,0.021792,0.04783
363,10860.0,W,N3,0.641182,0.100667,0.094697,0.047162,0.116292
364,10890.0,W,N3,0.694854,0.089655,0.06932,0.036731,0.109441
365,10920.0,W,N3,0.776698,0.063724,0.052982,0.0364,0.070195
366,10950.0,W,N3,0.836024,0.059178,0.034365,0.019573,0.05086
367,10980.0,W,N3,0.754152,0.071901,0.056895,0.036392,0.080659
368,11010.0,W,N3,0.831616,0.058732,0.032366,0.016989,0.060296
369,11040.0,W,N1,0.756266,0.101574,0.044258,0.025186,0.072716
370,11070.0,W,N1,0.655389,0.117578,0.057092,0.045741,0.124201
371,11100.0,W,N3,0.827216,0.053009,0.035391,0.025178,0.059206
372,11130.0,W,N3,0.864726,0.043581,0.027037,0.01945,0.045206
373,11160.0,W,N3,0.815646,0.06011,0.041381,0.025209,0.057654
374,11190.0,W,N3,0.841249,0.056119,0.02876,0.018975,0.054897
375,11220.0,W,N3,0.818658,0.061063,0.038172,0.020248,0.061859
376,11250.0,W,N3,0.792781,0.072231,0.041963,0.02398,0.069045
