epoch,start_sec,expert_stage,pred_stage,rel_delta,rel_theta,rel_alpha,rel_sigma,rel_beta
36,1050.0,W,N3,0.858412,0.082998,0.025467,0.010219,0.022903
37,1080.0,W,N3,0.827095,0.075652,0.034394,0.016972,0.045887
38,1110.0,W,N3,0.814508,0.101277,0.039501,0.015572,0.029142
39,1140.0,W,N3,0.648733,0.165653,0.064474,0.032565,0.088576
40,1170.0,W,N3,0.794027,0.104925,0.03822,0.016803,0.046026
41,1200.0,W,N3,0.847259,0.083292,0.030498,0.01223,0.02672
42,1230.0,W,N3,0.85644,0.075341,0.028555,0.011228,0.028436
43,1260.0,W,N3,0.882065,0.066653,0.019152,0.009701,0.02243
44,1290.0,W,N3,0.816628,0.094181,0.031342,0.015964,0.041885
45,1320.0,W,N3,0.808832,0.086239,0.047131,0.018075,0.039724
46,1350.0,W,N3,0.745034,0.133188,0.043788,0.020913,0.057078
47,1380.0,W,N3,0.717577,0.124469,0.063914,0.027635,0.066406
48,1410.0,W,N3,0.754176,0.113189,0.045643,0.02126,0.065733
49,1440.0,W,N3,0.85285,0.072901,0.030853,0.013441,0.029955
50,1470.0,W,N3,0.856298,0.078426,0.028458,0.012362,0.024456
51,1500.0,W,N3,0.747832,0.145907,0.044991,0.018685,0.042584
52,1530.0,W,N3,0.845393,0.073171,0.034341,0.014333,0.032762
53,1560.0,W,N1,0.747306,0.127387,0.05061,0.020575,0.054123
54,1590.0,W,N3,0.80637,0.086927,0.038067,0.020519,0.048117
55,1620.0,W,N3,0.720954,0.140593,0.048689,0.02734,0.062424
56,1650.0,W,N3,0.830687,0.085565,0.031269,0.014993,0.037485
57,1680.0,W,N3,0.720299,0.119582,0.057936,0.026087,0.076097
58,1710.0,W,N1,0.456961,0.34564,0.077756,0.033909,0.085734
59,1740.0,W,N1,0.489819,0.269641,0.111698,0.037033,0.091809
60,1770.0,W,N3,0.828291,0.086597,0.035136,0.013979,0.035996
61,1800.0,W,N3,0.782532,0.113331,0.044648,0.018503,0.040987
62,1830.0,W,N3,0.789275,0.120929,0.038813,0.01659,0.034393
63,1860.0,W,N1,0.675935,0.158774,0.062386,0.029026,0.073879
64,1890.0,W,N3,0.807274,0.099847,0.039024,0.015916,0.037939
65,1920.0,W,N3,0.82774,0.087319,0.031518,0.015363,0.038061
66,1950.0,W,N3,0.811121,0.094095,0.033495,0.017061,0.044228
67,1980.0,W,N3,0.859248,0.071902,0.023966,0.011684,0.033199
68,2010.0,W,N3,0.799288,0.089107,0.059846,0.016484,0.035275
69,2040.0,W,N3,0.864179,0.079332,0.023675,0.009084,0.023729
70,2070.0,W,N3,0.832367,0.082007,0.028516,0.01426,0.04285
71,2100.0,W,N3,0.876831,0.063106,0.021705,0.010231,0.028126
72,2130.0,W,N1,0.831483,0.073006,0.037871,0.018084,0.039556
73,2160.0,W,N3,0.850057,0.084999,0.026727,0.011122,0.027095
74,2190.0,W,N3,0.78699,0.110794,0.043007,0.020912,0.038298
75,2220.0,W,N3,0.823757,0.099938,0.035461,0.013403,0.027442
76,2250.0,W,N3,0.71846,0.156583,0.050888,0.019978,0.054091
77,2280.0,W,N3,0.802621,0.103744,0.042001,0.015682,0.035952
78,2310.0,W,N3,0.845771,0.084637,0.029867,0.012368,0.027357
79,2340.0,W,N3,0.806875,0.086748,0.038802,0.019528,0.048048
80,2370.0,W,N1,0.665673,0.151756,0.068965,0.033044,0.080562
81,2400.0,W,N3,0.796337,0.099722,0.040072,0.017036,0.046832
82,2430.0,W,N3,0.764601,0.095786,0.053285,0.023195,0.063132
83,2460.0,W,N3,0.864945,0.063523,0.031441,0.010835,0.029256
84,2490.0,W,N3,0.835417,0.088244,0.030067,0.014385,0.031887
85,2520.0,W,N3,0.837746,0.076011,0.029618,0.014323,0.042302
86,2550.0,W,N3,0.82799,0.093104,0.028602,0.013944,0.036359
87,2580.0,W,N3,0.86382,0.073702,0.021543,0.01234,0.028595
88,2610.0,W,N3,0.842059,0.072307,0.02888,0.01438,0.042373
89,2640.0,W,N3,0.811298,0.075858,0.031637,0.018971,0.062236
90,2670.0,W,N3,0.865626,0.070223,0.020893,0.012415,0.030843
91,2700.0,W,N3,0.810284,0.091556,0.030064,0.015075,0.05302
92,2730.0,W,N3,0.821972,0.086486,0.029337,0.015916,0.046289
93,2760.0,W,N3,0.804929,0.112168,0.030293,0.015428,0.037182
94,2790.0,W,N3,0.800963,0.108101,0.030929,0.016955,0.043052
95,2820.0,W,N3,0.80121,0.115607,0.029913,0.015023,0.038247
96,2850.0,W,N3,0.830783,0.086183,0.026514,0.015042,0.041479
97,2880.0,W,N3,0.832628,0.110277,0.023286,0.011343,0.022467
98,2910.0,W,N3,0.82523,0.103955,0.027559,0.012533,0.030722
99,2940.0,W,N3,0.828405,0.086487,0.028462,0.014164,0.042482
100,2970.0,W,N3,0.796988,0.110981,0.033231,0.015555,0.043245
101,3000.0,W,N3,0.871913,0.075816,0.020615,0.009528,0.022127
102,3030.0,W,N3,0.805201,0.140958,0.024211,0.010671,0.018959
103,3060.0,W,N3,0.849984,0.09064,0.021958,0.01233,0.025088
104,3090.0,W,N3,0.846933,0.085893,0.022372,0.011413,0.033389
105,3120.0,W,N3,0.885654,0.06572,0.021692,0.008979,0.017955
106,3150.0,W,N3,0.82593,0.074955,0.029912,0.015957,0.053246
107,3180.0,W,N3,0.901713,0.048411,0.016511,0.007819,0.025547
108,3210.0,W,N3,0.852729,0.096323,0.021823,0.009204,0.01992
109,3240.0,W,N3,0.811174,0.110676,0.034839,0.015242,0.028068
110,3270.0,W,N3,0.830791,0.100545,0.028855,0.013737,0.026072
111,3300.0,W,N3,0.761171,0.12266,0.043395,0.022453,0.050322
112,3330.0,W,N3,0.917474,0.054226,0.013175,0.00526,0.009864
113,3360.0,W,N1,0.894728,0.059486,0.01882,0.008704,0.018262
114,3390.0,W,N1,0.891672,0.070727,0.018169,0.006607,0.012825
115,3420.0,W,N1,0.907163,0.046469,0.016462,0.008558,0.021347
116,3450.0,W,N3,0.844487,0.098189,0.029829,0.010134,0.017361
117,3480.0,W,N3,0.72943,0.156506,0.042962,0.021609,0.049493
118,3510.0,W,N3,0.844625,0.08,0.024468,0.013566,0.03734
119,3540.0,W,N3,0.860781,0.075316,0.025411,0.012099,0.026393
120,3570.0,W,N3,0.846389,0.09301,0.026445,0.012858,0.021298
121,3600.0,W,N3,0.757706,0.11603,0.052402,0.018987,0.054876
122,3630.0,W,N3,0.757587,0.123644,0.045198,0.022891,0.05068
123,3660.0,W,N3,0.834876,0.106264,0.024578,0.010898,0.023383
124,3690.0,W,N3,0.838645,0.091777,0.028977,0.014068,0.026533
125,3720.0,W,N3,0.769815,0.114659,0.041088,0.021486,0.052952
126,3750.0,W,N3,0.810776,0.106071,0.037894,0.013711,0.031548
127,3780.0,W,N3,0.841851,0.08723,0.032871,0.012101,0.025947
128,3810.0,W,N3,0.794445,0.119849,0.032654,0.014819,0.038233
129,3840.0,W,N3,0.881621,0.066163,0.020033,0.00964,0.022544
130,3870.0,W,N3,0.830375,0.109208,0.02688,0.013088,0.020449
131,3900.0,W,N3,0.865134,0.092017,0.018301,0.008361,0.016187
132,3930.0,W,N3,0.808714,0.114997,0.032421,0.014116,0.029753
133,3960.0,W,N3,0.793732,0.122156,0.034216,0.015164,0.034732
134,3990.0,W,N3,0.754534,0.129064,0.047203,0.020054,0.049146
135,4020.0,W,N3,0.807418,0.128925,0.027969,0.012578,0.02311
136,4050.0,W,N3,0.842741,0.075681,0.029147,0.016043,0.036388
137,4080.0,W,N3,0.844712,0.093846,0.025246,0.012789,0.023407
138,4110.0,W,N3,0.803096,0.127869,0.03005,0.013365,0.025621
139,4140.0,W,N3,0.79403,0.116292,0.036705,0.018432,0.034541
140,4170.0,W,N3,0.759768,0.11456,0.052878,0.022686,0.050109
141,4200.0,W,N3,0.80242,0.112896,0.032274,0.017173,0.035237
142,4230.0,W,N3,0.798816,0.103995,0.037847,0.019221,0.04012
143,4260.0,W,N3,0.830426,0.093187,0.026062,0.014612,0.035713
144,4290.0,W,N3,0.839776,0.08781,0.029606,0.014763,0.028045
145,4320.0,W,N3,0.814135,0.104092,0.031529,0.015673,0.034571
146,4350.0,W,N3,0.825531,0.096177,0.029744,0.013913,0.034635
147,4380.0,W,N3,0.789171,0.106706,0.03716,0.018153,0.048811
148,4410.0,W,N3,0.823983,0.086646,0.031806,0.016085,0.04148
149,4440.0,W,N3,0.804635,0.114896,0.035173,0.014423,0.030873
150,4470.0,W,N3,0.817268,0.099717,0.028699,0.01542,0.038897
151,4500.0,W,N3,0.867582,0.059772,0.026655,0.014723,0.031267
152,4530.0,W,N3,0.789982,0.104644,0.039053,0.018496,0.047824
153,4560.0,W,N1,0.748437,0.102475,0.046326,0.024209,0.078553
154,4590.0,W,N3,0.73728,0.117272,0.041701,0.030196,0.073551
155,4620.0,W,N3,0.856484,0.068972,0.027294,0.012133,0.035117
156,4650.0,W,N3,0.804923,0.084455,0.036725,0.019887,0.054009
157,4680.0,W,N3,0.868058,0.063792,0.024136,0.011801,0.032213
158,4710.0,W,N3,0.807352,0.096425,0.03127,0.018262,0.046691
159,4740.0,W,N3,0.794625,0.11155,0.031434,0.019246,0.043144
160,4770.0,W,N3,0.801189,0.109873,0.03008,0.016463,0.042395
161,4800.0,W,N3,0.826813,0.075022,0.029862,0.018068,0.050236
162,4830.0,W,N3,0.795537,0.088518,0.033141,0.020176,0.062628
163,4860.0,W,N3,0.797297,0.072415,0.039059,0.024057,0.067173
164,4890.0,W,N3,0.823492,0.081346,0.03013,0.01682,0.048211
165,4920.0,W,N3,0.825416,0.084402,0.029544,0.015953,0.044685
166,4950.0,W,N3,0.771741,0.111146,0.035196,0.02061,0.061306
167,4980.0,W,N3,0.780866,0.098425,0.036033,0.021123,0.063553
168,5010.0,W,N3,0.765,0.120489,0.035336,0.02204,0.057136
169,5040.0,W,N3,0.74209,0.14392,0.041828,0.020093,0.052069
170,5070.0,W,N3,0.804668,0.125077,0.030261,0.012598,0.027397
171,5100.0,W,N3,0.76964,0.138748,0.035482,0.016119,0.040012
172,5130.0,W,N3,0.800096,0.117406,0.033603,0.015292,0.033604
173,5160.0,W,N3,0.733326,0.152078,0.045704,0.021449,0.047442
174,5190.0,W,N3,0.808614,0.086142,0.037062,0.017294,0.050887
175,5220.0,W,N3,0.838113,0.088903,0.025724,0.013425,0.033835
176,5250.0,W,N3,0.8101,0.111834,0.027627,0.014095,0.036344
177,5280.0,W,N3,0.842893,0.082767,0.027129,0.014846,0.032364
178,5310.0,W,N3,0.834576,0.094557,0.025266,0.012624,0.032978
179,5340.0,W,N3,0.851891,0.073967,0.031009,0.012089,0.031043
180,5370.0,W,N3,0.772416,0.107218,0.041186,0.023718,0.055462
181,5400.0,W,N3,0.770816,0.083199,0.040501,0.025604,0.079879
182,5430.0,W,N3,0.814098,0.05418,0.029794,0.022185,0.079743
183,5460.0,W,N3,0.782027,0.083266,0.036846,0.021005,0.076855
184,5490.0,W,N3,0.831431,0.081988,0.032826,0.016082,0.037673
185,5520.0,W,N3,0.832369,0.091499,0.02794,0.015,0.033192
186,5550.0,W,N3,0.809991,0.093997,0.035145,0.017285,0.043582
187,5580.0,W,N3,0.868889,0.067824,0.027098,0.010891,0.025297
188,5610.0,W,N3,0.883775,0.063234,0.020944,0.010644,0.021404
189,5640.0,W,N3,0.824907,0.075621,0.037933,0.01917,0.042368
190,5670.0,W,N3,0.819122,0.097566,0.032362,0.013776,0.037174
191,5700.0,W,N3,0.853503,0.077489,0.026038,0.012717,0.030253
192,5730.0,W,N3,0.871376,0.062735,0.023732,0.013419,0.028737
193,5760.0,W,N1,0.830136,0.087917,0.026301,0.015848,0.039797
194,5790.0,W,N3,0.83478,0.091009,0.032849,0.012357,0.029005
195,5820.0,W,N3,0.881517,0.051169,0.020913,0.012582,0.033818
196,5850.0,W,N1,0.890191,0.068745,0.019006,0.006971,0.015087
197,5880.0,W,N3,0.851591,0.077978,0.021216,0.013161,0.036054
198,5910.0,W,N3,0.823153,0.090773,0.031795,0.015167,0.039112
199,5940.0,W,N3,0.839186,0.082487,0.027301,0.015067,0.035959
200,5970.0,W,N3,0.857772,0.075866,0.026986,0.011748,0.027629
201,6000.0,W,N3,0.912616,0.050061,0.013918,0.006679,0.016726
202,6030.0,W,N3,0.836377,0.08626,0.030741,0.014331,0.03229
203,6060.0,W,N3,0.837753,0.070284,0.026103,0.015478,0.050382
204,6090.0,W,N3,0.819951,0.085717,0.030032,0.019242,0.045058
205,6120.0,W,N3,0.773494,0.103852,0.040561,0.021486,0.060608
206,6150.0,W,N3,0.776418,0.101424,0.040381,0.022764,0.059013
207,6180.0,W,N3,0.802604,0.086266,0.036634,0.020081,0.054414
208,6210.0,W,N3,0.833936,0.097042,0.028101,0.012926,0.027995
209,6240.0,W,N3,0.784191,0.096811,0.041949,0.022533,0.054515
210,6270.0,W,N3,0.791674,0.094974,0.039037,0.020578,0.053737
211,6300.0,W,N3,0.863514,0.070956,0.021882,0.011212,0.032437
212,6330.0,W,N3,0.830406,0.092237,0.024679,0.013157,0.039522
213,6360.0,W,N3,0.843676,0.089594,0.022776,0.013002,0.030953
214,6390.0,W,N3,0.809323,0.107357,0.028665,0.014948,0.039707
215,6420.0,W,N1,0.822356,0.08962,0.031281,0.014768,0.041975
216,6450.0,W,N3,0.738523,0.12911,0.040438,0.022707,0.069222
217,6480.0,W,N3,0.770456,0.112191,0.039309,0.021198,0.056846
218,6510.0,W,N3,0.783388,0.111301,0.039406,0.018982,0.046923
219,6540.0,W,N3,0.849048,0.079605,0.02813,0.012774,0.030442
220,6570.0,W,N3,0.791983,0.100241,0.037131,0.018954,0.051692
221,6600.0,W,N3,0.768691,0.113677,0.044773,0.020947,0.051912
222,6630.0,W,N3,0.806227,0.108143,0.030882,0.015371,0.039377
223,6660.0,W,N3,0.83947,0.075339,0.02827,0.014713,0.042207
224,6690.0,W,N3,0.744895,0.11016,0.050048,0.025659,0.069238
225,6720.0,W,N3,0.802493,0.103724,0.031502,0.017312,0.04497
226,6750.0,W,N3,0.838923,0.094259,0.026967,0.012282,0.027569
227,6780.0,W,N1,0.782416,0.118212,0.032186,0.017712,0.049474
228,6810.0,W,N3,0.858884,0.066477,0.024406,0.014078,0.036154
229,6840.0,W,N1,0.796369,0.089721,0.03296,0.02141,0.05954
230,6870.0,W,N3,0.772114,0.113278,0.037302,0.018052,0.059254
231,6900.0,W,N3,0.838526,0.079889,0.029444,0.013606,0.038535
232,6930.0,W,N3,0.819625,0.087953,0.033679,0.016465,0.042278
233,6960.0,W,N3,0.840677,0.07318,0.029477,0.016057,0.04061
234,6990.0,W,N3,0.760198,0.119496,0.042723,0.020757,0.056826
235,7020.0,W,N3,0.77213,0.112217,0.037125,0.020681,0.057847
236,7050.0,W,N3,0.844913,0.087483,0.023983,0.013221,0.0304
237,7080.0,W,N1,0.816129,0.101725,0.031593,0.015448,0.035105
238,7110.0,W,N3,0.841346,0.086193,0.025087,0.012217,0.035157
239,7140.0,W,N3,0.806726,0.094677,0.035296,0.020182,0.043118
240,7170.0,W,N3,0.835171,0.099278,0.022974,0.011589,0.030988
241,7200.0,W,N3,0.845907,0.070229,0.02634,0.014583,0.042941
242,7230.0,W,N3,0.83863,0.078026,0.025427,0.014227,0.043689
243,7260.0,W,N1,0.806975,0.072626,0.032827,0.0208,0.066772
244,7290.0,W,N3,0.918606,0.042536,0.015685,0.006983,0.01619
245,7320.0,W,N3,0.907448,0.048533,0.015292,0.008432,0.020295
246,7350.0,W,N1,0.805924,0.080003,0.034342,0.023146,0.056585
247,7380.0,W,N3,0.869324,0.064396,0.020394,0.013778,0.032108
248,7410.0,W,N3,0.864002,0.067854,0.021365,0.012414,0.034365
249,7440.0,W,N3,0.893563,0.0642,0.016085,0.007184,0.018968
250,7470.0,W,N3,0.847589,0.058588,0.024997,0.014603,0.054222
251,7500.0,W,N1,0.871443,0.055434,0.022802,0.01318,0.03714
252,7530.0,W,N3,0.889403,0.053629,0.019041,0.0089,0.029028
253,7560.0,W,N3,0.889999,0.046212,0.020289,0.009937,0.033562
254,7590.0,W,N3,0.870648,0.084499,0.018166,0.008379,0.018308
255,7620.0,W,N3,0.840011,0.079698,0.02346,0.016694,0.040137
256,7650.0,W,N3,0.833871,0.095728,0.026103,0.013729,0.030569
257,7680.0,W,N3,0.877379,0.057525,0.020094,0.01118,0.033821
258,7710.0,W,N3,0.793736,0.094701,0.037098,0.019213,0.055252
259,7740.0,W,N3,0.873759,0.067548,0.020596,0.009518,0.028578
260,7770.0,W,N3,0.771125,0.127702,0.036823,0.017282,0.047068
261,7800.0,W,N3,0.803356,0.100564,0.027232,0.017155,0.051693
262,7830.0,W,N3,0.788405,0.08707,0.03896,0.019977,0.065587
263,7860.0,W,N3,0.852545,0.079243,0.022315,0.011816,0.034081
264,7890.0,W,N3,0.845673,0.068074,0.029223,0.014177,0.042854
265,7920.0,W,N3,0.856849,0.074577,0.023287,0.012292,0.032995
266,7950.0,W,N3,0.85982,0.068837,0.022521,0.013313,0.035509
267,7980.0,W,N3,0.835839,0.080378,0.02744,0.015297,0.041046
268,8010.0,W,N3,0.849029,0.082508,0.027841,0.012312,0.028311
269,8040.0,W,N3,0.843068,0.083611,0.026487,0.013258,0.033576
270,8070.0,W,N3,0.84737,0.062876,0.028546,0.016388,0.04482
271,8100.0,W,N3,0.762892,0.108519,0.042096,0.022032,0.064461
272,8130.0,W,N1,0.86983,0.059264,0.023835,0.010959,0.036112
273,8160.0,W,N3,0.820765,0.080956,0.033852,0.015786,0.04864
274,8190.0,W,N3,0.845383,0.064773,0.027978,0.014929,0.046937
275,8220.0,W,N3,0.820629,0.086725,0.033712,0.016982,0.041952
276,8250.0,W,N3,0.882161,0.053899,0.023474,0.011127,0.029338
277,8280.0,W,N3,0.84149,0.074741,0.02573,0.01483,0.043208
278,8310.0,W,N3,0.760293,0.118514,0.041928,0.021054,0.058211
279,8340.0,W,N3,0.721171,0.12728,0.054226,0.024424,0.072899
280,8370.0,W,N3,0.890106,0.055174,0.020627,0.008979,0.025115
281,8400.0,W,N3,0.852619,0.067614,0.027015,0.013117,0.039635
282,8430.0,W,N3,0.916714,0.041587,0.017004,0.00776,0.016935
283,8460.0,W,N3,0.888695,0.053042,0.02194,0.01004,0.026282
284,8490.0,W,N3,0.888057,0.054354,0.018976,0.011179,0.027433
285,8520.0,W,N1,0.867183,0.079096,0.022889,0.010397,0.020435
286,8550.0,W,N3,0.878299,0.072338,0.019202,0.008948,0.021213
287,8580.0,W,N3,0.886805,0.057704,0.020548,0.009021,0.025922
288,8610.0,W,N3,0.848015,0.074907,0.025883,0.014458,0.036736
289,8640.0,W,N3,0.839779,0.106914,0.022268,0.009407,0.021632
290,8670.0,W,N3,0.878456,0.065422,0.020523,0.0108,0.024799
291,8700.0,W,N1,0.829198,0.099632,0.027469,0.013665,0.030036
292,8730.0,W,N3,0.851892,0.072985,0.026869,0.012742,0.035512
293,8760.0,W,N1,0.860031,0.066944,0.021535,0.014191,0.037298
294,8790.0,W,N3,0.83202,0.089755,0.030157,0.015217,0.032851
295,8820.0,W,N1,0.79542,0.095859,0.039632,0.018798,0.05029
296,8850.0,W,N3,0.785352,0.105655,0.038328,0.019341,0.051323
297,8880.0,W,N1,0.865611,0.074738,0.023842,0.010432,0.025377
298,8910.0,W,N3,0.863686,0.069282,0.025304,0.011767,0.02996
299,8940.0,W,N3,0.817907,0.09669,0.031997,0.016886,0.03652
300,8970.0,W,N1,0.78564,0.08836,0.040713,0.022668,0.062619
301,9000.0,W,N3,0.768903,0.096794,0.041365,0.021742,0.071197
302,9030.0,W,N3,0.76603,0.089591,0.047123,0.024872,0.072384
303,9060.0,W,N3,0.848496,0.059505,0.026568,0.015366,0.050066
304,9090.0,W,N1,0.861276,0.072167,0.025081,0.012615,0.02886
305,9120.0,W,N3,0.864318,0.07869,0.021723,0.010644,0.024625
306,9150.0,W,N3,0.851252,0.075591,0.026932,0.015026,0.031199
307,9180.0,W,N3,0.821905,0.081351,0.030579,0.016746,0.049419
308,9210.0,W,N3,0.79966,0.088308,0.038091,0.018844,0.055098
309,9240.0,W,N3,0.828881,0.089609,0.032406,0.015067,0.034037
310,9270.0,W,N3,0.818932,0.087541,0.032103,0.016063,0.045361
311,9300.0,W,N3,0.836771,0.075325,0.032954,0.015824,0.039126
312,9330.0,W,N3,0.77603,0.114387,0.038095,0.019482,0.052006
313,9360.0,W,N3,0.837488,0.082352,0.029466,0.014382,0.036312
314,9390.0,W,N3,0.8299,0.08739,0.029597,0.015608,0.037505
315,9420.0,W,N1,0.800041,0.084537,0.033569,0.021719,0.060133
316,9450.0,W,N3,0.794671,0.093836,0.036242,0.018291,0.05696
317,9480.0,W,N3,0.817599,0.087167,0.030138,0.017261,0.047836
318,9510.0,W,N3,0.870366,0.067517,0.018729,0.011421,0.031968
319,9540.0,W,N3,0.853992,0.06189,0.029527,0.01422,0.040372
320,9570.0,W,N3,0.754492,0.106785,0.044945,0.022753,0.071026
321,9600.0,W,N1,0.750183,0.103336,0.042871,0.026785,0.076826
322,9630.0,W,N1,0.598338,0.170123,0.064681,0.038284,0.128574
323,9660.0,W,N1,0.67356,0.155357,0.04262,0.027729,0.100734
324,9690.0,W,N3,0.772304,0.100057,0.036705,0.020889,0.070046
325,9720.0,W,N3,0.783453,0.085138,0.039231,0.020693,0.071485
326,9750.0,W,N3,0.697636,0.135674,0.05401,0.027812,0.084868
327,9780.0,W,N3,0.769648,0.09986,0.041107,0.023851,0.065535
328,9810.0,W,N3,0.86329,0.064165,0.025065,0.014269,0.03321
329,9840.0,W,N3,0.719953,0.104274,0.052602,0.029628,0.093544
330,9870.0,W,N3,0.828734,0.08856,0.029739,0.014315,0.038651
331,9900.0,W,N3,0.843274,0.079279,0.027248,0.013644,0.036555
332,9930.0,W,N3,0.799824,0.090129,0.039455,0.01948,0.051111
333,9960.0,W,N3,0.82998,0.064865,0.032323,0.019738,0.053094
334,9990.0,W,N3,0.841284,0.090574,0.027966,0.012655,0.027522
335,10020.0,W,N3,0.845719,0.078853,0.027151,0.012802,0.035475
336,10050.0,W,N3,0.831246,0.093827,0.025335,0.013524,0.036068
337,10080.0,W,N3,0.840877,0.076848,0.030894,0.012517,0.038864
338,10110.0,W,N3,0.832986,0.073795,0.029217,0.015,0.049002
339,10140.0,W,N3,0.850291,0.073107,0.025106,0.012862,0.038635
340,10170.0,W,N3,0.822,0.088825,0.030604,0.017069,0.041502
341,10200.0,W,N3,0.834157,0.066988,0.031688,0.016805,0.050363
342,10230.0,W,N1,0.794832,0.108624,0.037559,0.017991,0.040995
343,10260.0,W,N3,0.802706,0.119232,0.028857,0.014662,0.034543
344,10290.0,W,N3,0.872783,0.066176,0.024964,0.010523,0.025554
345,10320.0,W,N3,0.808221,0.076711,0.041421,0.019093,0.054554
346,10350.0,W,N3,0.818095,0.076245,0.033451,0.019026,0.053182
347,10380.0,W,N3,0.852679,0.054372,0.027791,0.016641,0.048517
348,10410.0,W,N3,0.820554,0.085714,0.028594,0.0159,0.049238
349,10440.0,W,N3,0.837427,0.073572,0.029932,0.016126,0.042942
350,10470.0,W,N3,0.763018,0.111519,0.038826,0.02077,0.065866
351,10500.0,W,N1,0.79815,0.094131,0.032999,0.019721,0.054999
352,10530.0,W,N3,0.820599,0.074802,0.034847,0.01952,0.050233
353,10560.0,W,N3,0.783478,0.101505,0.037029,0.019426,0.058562
354,10590.0,W,N1,0.689319,0.111264,0.058072,0.037189,0.104155
355,10620.0,W,N3,0.786369,0.107389,0.033907,0.016961,0.055375
356,10650.0,W,N1,0.809839,0.087528,0.036196,0.01872,0.047717
357,10680.0,W,N3,0.834619,0.086469,0.030146,0.015456,0.03331
358,10710.0,W,N1,0.756917,0.097505,0.0429,0.024941,0.077737
359,10740.0,W,N3,0.822157,0.08644,0.031464,0.016215,0.043724
360,10770.0,W,N3,0.840639,0.082247,0.024937,0.012894,0.039283
361,10800.0,W,N3,0.851457,0.080863,0.025479,0.012565,0.029637
362,10830.0,W,N3,0.804318,0.101355,0.03002,0.017326,0.04698
363,10860.0,W,N3,0.836946,0.084123,0.02636,0.013086,0.039484
364,10890.0,W,N3,0.848001,0.084687,0.022913,0.01372,0.030679
365,10920.0,W,N3,0.827764,0.082689,0.02844,0.014997,0.046111
366,10950.0,W,N1,0.808345,0.089252,0.034796,0.018604,0.049002
367,10980.0,W,N3,0.814462,0.081992,0.031249,0.016189,0.056108
368,11010.0,W,N3,0.831954,0.083224,0.028736,0.015417,0.040668
369,11040.0,W,N1,0.772937,0.088105,0.038995,0.024297,0.075665
370,11070.0,W,N3,0.785387,0.103864,0.039628,0.022092,0.049029
371,11100.0,W,N1,0.845378,0.085527,0.023859,0.014256,0.03098
372,11130.0,W,N3,0.864381,0.073024,0.023377,0.012126,0.027092
373,11160.0,W,N3,0.753868,0.110992,0.041157,0.023635,0.070348
374,11190.0,W,N3,0.823641,0.085889,0.029071,0.015923,0.045476
375,11220.0,W,N3,0.830604,0.081996,0.026391,0.016346,0.044663
376,11250.0,W,N3,0.8227,0.07508,0.027659,0.015184,0.059377
